,Canton,Commune,Language,Residents,Population density per km²,0-19 years,20-64 years,65 years or over,Private households,Surface area in km²,Settlement area,Agricultural area,Wooded area,Unproductive area,East coordinate,North coordinate,Elevation
0,ZH,Aeugst am Albis,de,1982,250.5689001,19.67709384,62.76488396,17.5580222,835,7.91,12.65822785,51.13924051,30.88607595,5.316455696,2679300,1235700,673
1,ZH,Affoltern am Albis,de,12229,1154.76865,20.50862703,61.3296263,18.16174667,5348,10.59,30.67426401,40.17094017,28.20512821,0.949667616,2676800,1236800,502
2,ZH,Bonstetten,de,5548,746.7025572,23.66618601,60.31002163,16.02379236,2325,7.43,15.45698925,55.51075269,28.62903226,0.403225807,2677800,1241000,583
3,ZH,Hausen am Albis,de,3701,272.1323529,21.80491759,60.686301,17.50878141,1546,13.6,12.69258988,55.90608951,28.83345561,2.567865004,2682900,1233100,653
4,ZH,Hedingen,de,3734,571.8223583,21.7728977,61.75682914,16.47027317,1540,6.53,19.81707317,46.34146341,33.23170732,0.609756098,2676400,1239000,543
5,ZH,Kappel am Albis,de,1157,146.0858586,25.23768366,60.76058773,14.00172861,465,7.92,8.31202046,69.9488491,20.58823529,1.150895141,2682400,1231300,559
6,ZH,Knonau,de,2373,366.7697063,23.89380531,61.0619469,15.04424779,925,6.47,18.02773498,62.24961479,17.10323575,2.619414484,2677500,1230900,454
7,ZH,Maschwanden,de,656,139.8720682,23.01829268,59.75609756,17.22560976,272,4.69,8.974358974,59.61538462,23.71794872,7.692307692,2674800,1232000,410
8,ZH,Mettmenstetten,de,5094,390.9439754,22.73262662,59.7762073,17.49116608,2050,13.03,15.99081867,64.26931905,18.59219587,1.147666412,2677600,1233000,493
9,ZH,Obfelden,de,5599,742.5729443,23.50419718,59.77853188,16.71727094,2302,7.54,24.33862434,49.07407407,21.42857143,5.158730159,2675100,1235300,439
10,ZH,Ottenbach,de,2555,508.9641434,19.88258317,59.29549902,20.82191781,1106,5.02,20.75848303,54.69061876,20.35928144,4.191616767,2673000,1237200,435
11,ZH,Rifferswil,de,1123,172.5038402,27.87177204,56.54496883,15.58325913,442,6.51,10.3343465,64.89361702,22.6443769,2.127659575,2680100,1232800,591
12,ZH,Stallikon,de,3680,306.156406,20.67934783,62.88043478,16.44021739,1525,12.02,11.06489185,38.01996672,49.83361065,1.081530782,2679500,1242100,641
13,ZH,Wettswil am Albis,de,5188,1376.127321,23.22667695,56.8234387,19.94988435,2153,3.77,41.06666667,34.13333333,20.53333333,4.266666667,2678200,1243700,549
14,ZH,Adlikon,de,707,107.4468085,20.93352192,62.65912306,16.40735502,280,6.58,10.87613293,63.89728097,22.65861027,2.567975831,2694300,1271000,433
15,ZH,Benken (ZH),de,855,151.0600707,20.46783626,64.32748538,15.20467836,361,5.66,8.11287478,57.49559083,34.03880071,0.352733686,2691300,1278800,440
16,ZH,Berg am Irchel,de,570,81.31241084,14.38596491,60.52631579,25.0877193,250,7.01,4.978662873,48.07965861,45.3769559,1.564722617,2687200,1269400,458
17,ZH,Buch am Irchel,de,977,95.69049951,25.69089048,60.08188332,14.2272262,371,10.21,6.88976378,55.11811024,37.99212598,0.0,2689100,1267000,552
18,ZH,Dachsen,de,1920,711.1111111,21.51041667,58.33333333,20.15625,782,2.7,32.0754717,48.30188679,12.45283019,7.169811321,2688600,1280000,406
19,ZH,Dorf,de,658,118.3453237,22.18844985,61.24620061,16.56534954,257,5.56,12.45487365,46.3898917,40.97472924,0.180505415,2691000,1269800,472
20,ZH,Feuerthalen,de,3623,1460.887097,20.45266354,62.29643941,17.25089705,1613,2.48,42.8,11.2,44.0,2.0,2690400,1283000,435
21,ZH,Flaach,de,1414,139.0363815,21.21640736,61.88118812,16.90240453,593,10.17,8.333333333,50.88235294,33.7254902,7.058823529,2688000,1270100,350
22,ZH,Flurlingen,de,1438,596.6804979,21.00139082,60.77885953,18.21974965,619,2.41,22.82157676,17.01244813,56.43153527,3.734439834,2689400,1282000,473
23,ZH,Andelfingen,de,2215,328.6350148,23.06997743,57.78781038,19.14221219,925,6.74,15.82089552,45.97014925,32.98507463,5.223880597,2693300,1272200,399
24,ZH,Henggart,de,2239,738.9438944,22.95667709,56.81107637,20.23224654,905,3.03,23.02631579,56.25,19.73684211,0.986842105,2693600,1268700,441
25,ZH,Humlikon,de,487,132.3369565,22.99794661,55.85215606,21.14989733,184,3.68,9.510869565,62.5,27.7173913,0.27173913,2692700,1270300,435
26,ZH,Kleinandelfingen,de,2109,204.9562682,21.76386913,60.78710289,17.44902798,879,10.29,13.21671526,50.24295432,32.75024295,3.790087464,2693600,1272800,398
27,ZH,Laufen-Uhwiesen,de,1709,272.133758,20.42129901,58.27969573,21.29900527,727,6.28,12.40063593,39.58664547,44.51510334,3.497615262,2689800,1280600,485
28,ZH,Marthalen,de,1908,135.0318471,19.33962264,61.79245283,18.86792453,837,14.13,11.80212014,47.27915194,39.15194346,1.766784452,2690900,1275700,398
29,ZH,Ossingen,de,1641,125.3628724,21.08470445,61.18220597,17.73308958,699,13.09,9.320091673,56.4553094,29.10618793,5.118411001,2696800,1274200,421
30,ZH,Rheinau,de,1333,148.9385475,18.52963241,61.5903976,19.87996999,596,8.93,11.64613662,26.20380739,54.8712206,7.278835386,2687700,1277700,383
31,ZH,Thalheim an der Thur,de,917,142.3913043,21.81025082,61.2868048,16.90294438,386,6.44,8.992248062,65.58139535,21.24031008,4.186046512,2699000,1270600,391
32,ZH,Trüllikon,de,1066,111.5062762,19.88742964,56.4727955,23.63977486,471,9.56,8.682008368,61.71548117,29.28870293,0.313807531,2694300,1277100,467
33,ZH,Truttikon,de,477,108.1632653,24.31865828,57.65199161,18.0293501,181,4.41,6.363636364,64.54545455,28.63636364,0.454545455,2696800,1276200,466
34,ZH,Volken,de,362,113.125,26.79558011,61.87845304,11.32596685,149,3.2,6.097560976,64.63414634,29.26829268,0.0,2689300,1270000,419
