,Canton,Commune,Language,Residents,Population density per km²,0-19 years,20-64 years,65 years or over,Private households,Surface area in km²,Settlement area,Agricultural area,Wooded area,Unproductive area,East coordinate,North coordinate,Elevation
1025,AR,Herisau,de,15745,624.8015873,19.0727215,61.96887901,18.95839949,7154,25.2,17.24137931,54.22116528,27.78438367,0.75307174,2738700,1250300,796
1026,AR,Hundwil,de,941,39.07807309,26.35494155,58.76726886,14.87778959,339,24.08,3.472509301,58.28854899,31.04588673,7.193054981,2742000,1247700,987
1027,AR,Schönengrund,de,532,102.504817,22.55639098,59.96240602,17.48120301,216,5.19,4.615384615,65.19230769,30.19230769,0.0,2735200,1243200,959
1028,AR,Schwellbrunn,de,1573,90.29850746,25.30197076,57.46980292,17.22822632,582,17.42,5.574712644,59.54022989,34.36781609,0.517241379,2736800,1246100,909
1029,AR,Stein (AR),de,1429,152.6709402,22.95311407,58.78236529,18.26452064,567,9.36,9.003215434,66.34512326,23.25830654,1.39335477,2743900,1248700,760
1030,AR,Urnäsch,de,2303,47.81976744,22.05818498,58.83630048,19.10551455,964,48.16,3.42821525,53.0438396,42.13588199,1.392063162,2739600,1242400,1062
1031,AR,Waldstatt,de,1870,277.037037,22.8342246,58.18181818,18.98395722,704,6.75,12.25710015,60.53811659,26.30792227,0.896860987,2739500,1246700,844
1032,AR,Bühler,de,1799,321.25,23.51306281,58.86603669,17.6209005,748,5.6,10.55456172,62.96958855,25.40250447,1.073345259,2749500,1248800,930
1033,AR,Gais,de,3091,145.7331447,19.92882562,59.10708509,20.96408929,1302,21.21,6.789250354,46.72324375,44.88448845,1.603017445,2752200,1247700,1004
1034,AR,Speicher,de,4382,535.6968215,21.08626198,58.60337745,20.31036057,1855,8.18,17.68292683,53.17073171,28.17073171,0.975609756,2751200,1253100,912
1035,AR,Teufen (AR),de,6265,410.8196721,18.51556265,58.69114126,22.79329609,2687,15.25,16.93917593,52.45258339,29.62720733,0.981033355,2747100,1250700,855
1036,AR,Trogen,de,1735,172.9810568,21.78674352,59.5389049,18.67435159,710,10.03,8.383233533,49.00199601,41.51696607,1.097804391,2752900,1252800,953
1037,AR,Grub (AR),de,1008,239.4299287,18.84920635,59.72222222,21.42857143,410,4.21,12.14285714,56.66666667,31.19047619,0.0,2756200,1257400,900
1038,AR,Heiden,de,4162,556.4171123,19.07736665,58.91398366,22.00864969,1854,7.48,18.29105474,51.26835781,30.3070761,0.133511349,2758000,1256900,829
1039,AR,Lutzenberg,de,1279,568.4444444,18.53010164,64.73807662,16.73182174,552,2.25,23.55555556,50.66666667,24.88888889,0.888888889,2760600,1258700,574
1040,AR,Rehetobel,de,1747,259.9702381,20.89295936,59.87406983,19.23297081,707,6.72,9.538002981,55.88673621,34.12816692,0.44709389,2754200,1254800,919
1041,AR,Reute (AR),de,688,137.8757515,15.26162791,60.75581395,23.98255814,319,4.99,6.262626263,40.2020202,53.53535354,0.0,2761200,1254300,797
1042,AR,Wald (AR),de,877,128.4040996,23.26111745,57.81071836,18.9281642,366,6.83,6.578947368,64.76608187,28.65497076,0.0,2754700,1253700,982
1043,AR,Walzenhausen,de,1971,281.5714286,17.19939117,64.12988331,18.67072552,917,7.0,13.79800853,52.0625889,34.13940256,0.0,2763200,1257700,753
1044,AR,Wolfhalden,de,1837,265.0793651,19.65160588,61.13228089,19.21611323,814,6.93,13.05595409,55.81061693,30.84648494,0.286944046,2759200,1258000,737
