,Canton,Commune,Language,Residents,Population density per km²,0-19 years,20-64 years,65 years or over,Private households,Surface area in km²,Settlement area,Agricultural area,Wooded area,Unproductive area,East coordinate,North coordinate,Elevation
1128,GR,Vaz/Obervaz,de,2780,65.39637732,16.47482014,60.68345324,22.84172662,1328,42.51,7.035294118,40.4,39.74117647,12.82352941,2761800,1177300,1656
1129,GR,Lantsch/Lenz,de,535,24.5300321,17.00934579,58.5046729,24.48598131,253,21.81,3.939532753,27.25606963,34.58543289,34.21896473,2762500,1172400,1867
1130,GR,Schmitten (GR),de,234,20.61674009,13.24786325,55.55555556,31.1965812,117,11.35,1.855123675,25.795053,57.59717314,14.75265018,2770800,1173200,1767
1131,GR,Albula/Alvra,de,1310,13.94655595,15.8778626,60.30534351,23.81679389,599,93.93,2.788123869,28.06214749,46.32329467,22.82643397,2768800,1172100,1721
1132,GR,Surses,rm,2356,7.276770547,14.21901528,57.68251273,28.09847199,1148,323.77,1.05945946,41.68957529,18.26409266,38.98687259,2765500,1162700,2265
1134,GR,Brusio,it,1113,24.03887689,14.73495058,55.97484277,29.29020665,487,46.3,2.464864865,15.30810811,55.63243243,26.59459459,2807200,1126400,1845
1135,GR,Poschiavo,it,3516,18.40741322,19.62457338,55.20477816,25.17064846,1476,191.01,1.769911504,18.96109337,33.44504372,45.82395141,2801700,1133800,2168
1136,GR,Falera,rm,615,27.50447227,18.69918699,53.49593496,27.80487805,272,22.36,2.639821029,60.0,20.04474273,17.31543624,2736900,1184900,1948
1137,GR,Laax,de,1858,58.59350363,15.39289559,62.32508073,22.28202368,937,31.71,3.977272727,34.21717172,30.83964646,30.96590909,2738800,1185400,1925
1138,GR,Sagogn,rm,719,103.9017341,22.11404729,56.46731572,21.418637,315,6.92,9.352517986,19.13669065,58.99280576,12.51798561,2738700,1183800,804
1139,GR,Schluein,rm,648,135.2818372,20.83333333,62.34567901,16.82098765,283,4.79,7.484407484,29.10602911,56.34095634,7.068607069,2736700,1183500,831
1140,GR,Vals,de,1007,5.735930736,13.90268123,62.95928501,23.13803376,491,175.56,0.564102564,32.15954416,12.23931624,55.03703704,2733400,1164300,2311
1141,GR,Lumnezia,rm,2026,12.24317138,14.16584403,56.71273445,29.12142152,930,165.48,1.438588008,44.83196325,21.72388781,32.00556093,2732700,1175500,1930
1142,GR,Ilanz/Glion,de,4756,35.63080611,18.96551724,58.64171573,22.39276703,2069,133.48,2.727817746,36.0986211,37.84472422,23.32883693,2734900,1181900,1657
1143,GR,Fürstenau,de,353,267.4242424,18.98016997,57.22379603,23.79603399,155,1.32,10.76923077,50.0,33.07692308,6.153846154,2753500,1176400,664
1144,GR,Rothenbrunnen,de,299,96.1414791,21.07023411,62.87625418,16.05351171,128,3.11,9.35483871,11.29032258,68.38709677,10.96774194,2751800,1181700,664
1145,GR,Scharans,de,789,55.21343597,19.89860583,58.04816223,22.05323194,336,14.29,3.77886634,25.75227432,64.10076977,6.368089573,2754500,1176000,1323
1146,GR,Sils im Domleschg,de,943,101.6163793,23.43584305,54.61293743,21.95121951,389,9.28,8.064516129,14.62365591,70.43010753,6.88172043,2754100,1174100,995
1147,GR,Cazis,de,2228,71.45606158,20.01795332,60.45780969,19.52423698,914,31.18,6.25,50.06410256,36.50641026,7.17948718,2752200,1176400,1288
1148,GR,Flerden,de,248,40.72249589,28.62903226,54.83870968,16.53225806,93,6.09,4.118616145,49.91762768,30.80724876,15.15650741,2750600,1174300,1494
1149,GR,Masein,de,488,116.1904762,24.3852459,59.22131148,16.39344262,187,4.2,6.205250597,38.66348449,52.98329356,2.14797136,2752000,1174200,908
1150,GR,Thusis,de,3217,191.83065,19.36586882,60.89524402,19.73888716,1458,16.77,7.76119403,23.70149254,61.73134328,6.805970149,2752900,1173500,1523
1151,GR,Tschappina,de,130,5.269558168,17.69230769,53.07692308,29.23076923,56,24.67,1.175516822,36.9679773,27.60437779,34.25212809,2748600,1172500,1828
1152,GR,Urmein,de,154,35.56581986,18.83116883,42.20779221,38.96103896,72,4.33,6.68202765,45.85253456,41.01382488,6.451612903,2750200,1173000,1287
1153,GR,Safiental,de,901,5.950336812,20.97669256,52.94117647,26.08213097,376,151.42,1.188746533,38.77294941,31.08572183,28.95258222,2740800,1183500,1867
1154,GR,Domleschg,de,2067,44.99346974,20.17416546,61.15142719,18.67440735,885,45.94,3.263707572,36.09660574,49.30374238,11.3359443,2753000,1181000,1514
1155,GR,Avers,de,168,1.804123711,17.26190476,55.35714286,27.38095238,75,93.12,0.472711646,49.36613666,6.027073485,44.13407821,2759300,1148900,2404
1156,GR,Sufers,de,144,4.159445407,25.0,48.61111111,26.38888889,60,34.62,0.83912037,12.09490741,25.92592593,61.1400463,2747800,1159500,2122
1157,GR,Andeer,de,908,19.6112311,19.82378855,52.75330396,27.42290749,418,46.3,2.285960751,31.72309683,44.29588096,21.69506146,2752300,1163200,1872
1158,GR,Casti-Wergenstein,rm,56,2.18579235,17.85714286,64.28571429,17.85714286,21,25.62,0.664322001,50.01953888,9.105119187,40.21101993,2750800,1165800,2316
1159,GR,Donat,rm,202,43.25481799,23.76237624,55.94059406,20.2970297,82,4.67,3.64806867,40.12875536,51.28755365,4.935622318,2752400,1166100,1205
1160,GR,Lohn (GR),rm,46,5.630354957,13.04347826,63.04347826,23.91304348,19,8.17,1.105651106,57.37100737,34.27518428,7.248157248,2752200,1168600,1760
1161,GR,Mathon,rm,51,3.370786517,13.7254902,70.58823529,15.68627451,26,15.13,0.991407799,68.53932584,10.31064111,20.15862525,2751300,1167000,2188
1162,GR,Rongellen,de,53,26.23762376,20.75471698,69.81132075,9.433962264,20,2.02,5.882352941,15.19607843,64.21568627,14.70588235,2753300,1171200,1071
1163,GR,Zillis-Reischen,de,401,16.38741316,19.70074813,59.85037406,20.44887781,180,24.47,2.003270646,32.78822567,44.8896157,20.31888798,2753500,1166800,1799
1164,GR,Ferrera,de,75,0.993904055,8.0,54.66666667,37.33333333,42,75.46,0.384411453,24.77465536,17.94803818,56.89289502,2753800,1154100,2301
1166,GR,Bonaduz,de,3331,231.3194444,22.06544581,62.47373161,15.46082258,1417,14.4,7.820069204,24.29065744,62.00692042,5.882352941,2749600,1186400,745
1167,GR,Domat/Ems,de,8038,331.8744839,21.37347599,60.23886539,18.38765862,3391,24.22,14.64521452,25.37128713,53.87788779,6.105610561,2753500,1189100,727
1168,GR,Rhäzüns,de,1496,111.8922962,23.86363636,60.56149733,15.57486631,599,13.37,4.969879518,23.04216867,68.29819277,3.689759036,2749500,1184900,914
1169,GR,Felsberg,de,2622,195.6716418,25.20976354,60.64073227,14.1495042,1048,13.4,5.153099328,18.22255414,44.28678118,32.33756535,2755500,1190400,1201
1170,GR,Flims,de,2836,56.15841584,14.8448519,61.60084626,23.55430183,1443,50.5,4.458977408,32.75862069,28.81490289,33.96749901,2740800,1189000,1815
1171,GR,Tamins,de,1217,29.87236132,18.81676253,62.28430567,18.8989318,544,40.74,1.375583395,16.43330877,50.92114959,31.26995824,2750200,1188500,1593
1172,GR,Trin,de,1430,30.31587874,18.81118881,61.67832168,19.51048951,647,47.17,1.968670618,32.43014395,24.87298899,40.72819644,2746800,1188200,2101
