,Canton,Commune,Language,Residents,Population density per km²,0-19 years,20-64 years,65 years or over,Private households,Surface area in km²,Settlement area,Agricultural area,Wooded area,Unproductive area,East coordinate,North coordinate,Elevation
2073,NE,Boudry,fr,6154,367.1837709,23.05817355,60.36724082,16.57458564,2710,16.76,11.81384248,22.97136038,63.78281623,1.431980907,2554300,1200000,604
2074,NE,Corcelles-Cormondrèche,fr,4757,980.8247423,22.26192979,57.78852218,19.94954803,2017,4.85,26.23966942,31.19834711,42.3553719,0.20661157,2556500,1203700,659
2075,NE,Cortaillod,fr,4729,1285.054348,21.31528864,58.65933601,20.02537534,2131,3.68,41.09589041,47.39726027,11.23287671,0.273972603,2554900,1199200,469
2076,NE,Peseux,fr,5813,1704.692082,21.5207294,59.86581799,18.61345261,2706,3.4,26.60818713,2.923976608,70.46783626,0.0,2558200,1204200,698
2077,NE,Rochefort,fr,1239,47.9303675,20.9039548,60.85552865,18.24051655,532,25.85,5.389685925,28.57696782,65.64559907,0.387747189,2552200,1203200,999
2078,NE,Milvignes,fr,8977,1021.274175,21.13178122,57.37997104,21.48824774,3996,8.78,38.88888889,36.96145125,23.35600907,0.793650794,2556000,1201800,494
2080,NE,La Chaux-de-Fonds,fr,37952,681.2421468,21.03446459,60.22344013,18.74209528,18003,55.72,16.63078579,54.71833513,27.91532113,0.735557948,2553400,1216900,1040
2081,NE,Les Planchettes,fr,210,17.9028133,21.9047619,60.47619048,17.61904762,88,11.73,3.079555175,37.5534645,56.80068435,2.56629598,2549300,1217500,1015
2082,NE,La Sagne,fr,1019,39.88258317,22.86555447,54.07262022,23.06182532,440,25.55,3.123779774,59.54705193,37.09488481,0.234283483,2551400,1210000,1112
2083,NE,Les Brenets,fr,1044,90.54640069,19.73180077,57.18390805,23.08429119,483,11.53,6.239168111,40.90121317,48.6135182,4.24610052,2544300,1213300,1019
2084,NE,La Brévine,fr,630,15.06816551,20.47619048,55.71428571,23.80952381,288,41.81,2.289530169,53.47006916,42.28476031,1.955640353,2536700,1203600,1110
2085,NE,Brot-Plamboz,fr,270,16.78060907,27.40740741,54.44444444,18.14814815,104,16.09,2.660891089,67.63613861,28.27970297,1.423267327,2546700,1202400,1027
2086,NE,Le Cerneux-Péquignot,fr,311,19.8089172,24.75884244,58.52090032,16.72025723,119,15.7,2.869897959,55.03826531,40.49744898,1.594387755,2541200,1207600,1096
2087,NE,La Chaux-du-Milieu,fr,492,28.42287695,27.43902439,55.08130081,17.4796748,187,17.31,2.476958525,48.96313364,48.38709677,0.17281106,2544000,1207200,1134
2088,NE,Le Locle,fr,10216,441.6774751,21.4761159,58.45732185,20.06656226,4734,23.13,15.98786828,53.81282496,29.98266898,0.216637782,2547600,1212000,1040
2089,NE,Les Ponts-de-Martel,fr,1248,68.68464502,21.47435897,56.89102564,21.63461538,526,18.17,4.743519029,59.29398787,30.33645891,5.626034198,2546100,1205500,1048
2090,NE,Cornaux,fr,1563,330.4439746,21.30518234,61.6762636,17.01855406,682,4.73,30.78556263,45.85987261,22.50530786,0.8492569,2568200,1209800,444
2091,NE,Cressier (NE),fr,1887,220.1866978,21.78060413,61.20826709,17.01112878,795,8.57,15.91173055,27.75842044,54.3554007,1.974448316,2569500,1211200,585
2092,NE,Enges,fr,272,28.39248434,23.52941176,52.57352941,23.89705882,118,9.58,2.19665272,45.92050209,51.88284519,0.0,2567600,1211800,1030
2093,NE,Hauterive (NE),fr,2623,1231.455399,18.83339687,59.96950057,21.19710255,1251,2.13,30.09259259,10.64814815,59.25925926,0.0,2564500,1207100,588
2094,NE,Le Landeron,fr,4645,451.848249,20.88266954,57.63186222,21.48546825,2091,10.28,15.34701857,39.78494624,43.30400782,1.564027371,2571600,1211600,611
2095,NE,Lignières,fr,968,77.31629393,26.13636364,56.9214876,16.94214876,404,12.52,7.354116707,60.91127098,31.73461231,0.0,2571600,1214700,888
2096,NE,Neuchâtel,fr,33489,1854.318937,18.75242617,63.63582072,17.61175311,16429,18.06,35.70634038,10.06674082,53.94883204,0.278086763,2561300,1204700,661
2097,NE,Saint-Blaise,fr,3212,362.5282167,20.76587796,56.16438356,23.06973848,1428,8.86,20.85682074,26.26832018,52.08568207,0.789177001,2565600,1207100,602
2098,NE,La Tène,fr,5000,945.1795841,22.38,57.9,19.72,2094,5.29,37.96992481,50.18796992,8.646616541,3.195488722,2567200,1206900,447
2099,NE,Valangin,fr,509,135.3723404,24.55795678,60.90373281,14.53831041,197,3.76,9.066666667,39.46666667,51.2,0.266666667,2559500,1207300,735
2100,NE,Val-de-Ruz,fr,16990,136.6744429,24.39081813,60.11183049,15.49735138,7048,124.31,6.375623091,54.42997266,38.88888889,0.305515356,2560700,1212700,1017
2101,NE,La Côte-aux-Fées,fr,442,34.45050663,19.90950226,54.52488688,25.56561086,205,12.83,3.032659409,55.67651633,40.90202177,0.388802488,2527700,1191000,1081
2102,NE,Les Verrières,fr,669,23.17284378,23.31838565,55.60538117,21.07623318,319,28.87,3.291753292,45.4954955,50.7969508,0.415800416,2527200,1195200,1152
2103,NE,Val-de-Travers,fr,10668,85.52188552,20.11623547,57.02099738,22.86276715,5003,124.74,6.050878742,42.4845518,50.68614076,0.778428698,2534800,1195000,1038
