,Canton,Commune,Language,Residents,Population density per km²,0-19 years,20-64 years,65 years or over,Private households,Surface area in km²,Settlement area,Agricultural area,Wooded area,Unproductive area,East coordinate,North coordinate,Elevation
643,NW,Beckenried,de,3672,151.4226804,19.96187364,61.4379085,18.60021786,1590,24.25,6.01565719,48.74330449,37.33003708,7.911001236,2678800,1202200,1266
644,NW,Buochs,de,5311,533.2329317,18.88533233,62.19167765,18.92299002,2258,9.96,17.84274194,46.97580645,33.56854839,1.612903226,2674700,1203000,566
645,NW,Dallenwil,de,1846,119.250646,21.50595883,61.70097508,16.79306609,749,15.47,4.639175258,53.7371134,37.69329897,3.930412371,2672400,1197600,1219
646,NW,Emmetten,de,1429,57.3434992,15.5353394,65.08047586,19.38418474,701,24.92,2.754491018,36.44710579,47.78443114,13.01397206,2682200,1201200,1226
647,NW,Ennetbürgen,de,4801,515.1287554,16.64236617,60.32076651,23.03686732,2223,9.32,15.95744681,49.25531915,33.82978723,0.957446809,2674300,1204200,647
648,NW,Ennetmoos,de,2193,155.8635394,21.79662563,62.5626995,15.64067487,898,14.07,6.671398155,48.04826118,43.36408801,1.916252662,2667200,1199400,620
649,NW,Hergiswil (NW),de,5777,403.986014,14.81737926,62.57573135,22.60688939,2698,14.3,10.52631579,28.77192982,45.89473684,14.80701754,2666400,1204400,1073
650,NW,Oberdorf (NW),de,3124,192.8395062,21.41485275,59.79513444,18.7900128,1284,16.2,7.453416149,52.98136646,37.51552795,2.049689441,2672100,1201200,746
651,NW,Stans,de,8393,757.4909747,18.56308829,61.86107471,19.57583701,3599,11.08,20.93862816,40.07220217,36.73285199,2.25631769,2670600,1201100,502
652,NW,Stansstad,de,4580,504.9614112,14.56331878,60.06550218,25.37117904,2188,9.07,15.6043956,32.74725275,49.78021978,1.868131868,2668500,1203300,678
653,NW,Wolfenschiessen,de,2097,22.62135922,23.93896042,58.65522175,17.40581784,834,92.7,1.360103627,39.68048359,33.667962,25.29145078,2672900,1195800,1512
