,Canton,Commune,Language,Residents,Population density per km²,0-19 years,20-64 years,65 years or over,Private households,Surface area in km²,Settlement area,Agricultural area,Wooded area,Unproductive area,East coordinate,North coordinate,Elevation
801,SO,Egerkingen,de,3683,529.9280576,21.04262829,62.53054575,16.42682596,1571,6.95,25.10822511,25.25252525,49.35064935,0.288600289,2626800,1241300,520
802,SO,Härkingen,de,1644,298.3666062,20.1946472,66.84914842,12.95620438,704,5.51,27.04174229,51.17967332,21.77858439,0.0,2628700,1239900,431
803,SO,Kestenholz,de,1805,210.1280559,21.88365651,59.77839335,18.33795014,762,8.59,9.407665505,52.38095238,37.97909408,0.232288037,2623900,1236800,455
804,SO,Neuendorf,de,2237,313.3053221,21.81493071,64.59544032,13.58962897,953,7.14,17.64705882,48.59943978,33.61344538,0.140056022,2627000,1239200,437
805,SO,Niederbuchsiten,de,1175,214.0255009,20.08510638,64.85106383,15.06382979,532,5.49,8.957952468,55.57586837,35.46617916,0.0,2625200,1238500,445
806,SO,Oberbuchsiten,de,2297,244.6219382,20.54854158,65.82498912,13.62646931,979,9.39,11.0042735,38.78205128,49.57264957,0.641025641,2624800,1239900,585
807,SO,Oensingen,de,6288,519.6694215,19.46564886,64.34478372,16.18956743,2755,12.1,21.95526098,39.6023198,37.53106877,0.911350456,2621100,1237800,461
808,SO,Wolfwil,de,2274,330.5232558,20.40457344,60.46613896,19.1292876,974,6.88,13.37209302,54.36046512,28.19767442,4.069767442,2627200,1235500,426
809,SO,Aedermannsdorf,de,570,44.11764706,21.57894737,58.42105263,20.0,227,12.92,3.632148377,49.38176198,46.67697063,0.309119011,2612900,1239400,903
810,SO,Balsthal,de,6121,389.624443,21.72847574,60.05554648,18.21597778,2610,15.71,14.37659033,29.38931298,54.38931298,1.844783715,2619300,1240600,626
811,SO,Gänsbrunnen,de,85,7.423580786,23.52941176,61.17647059,15.29411765,33,11.45,3.237095363,29.48381452,67.19160105,0.087489064,2602200,1234500,986
812,SO,Herbetswil,de,539,33.06748466,20.22263451,56.95732839,22.82003711,217,16.3,3.433476395,34.82526058,61.61863887,0.122624157,2611600,1238400,912
813,SO,Holderbank (SO),de,696,89.80645161,19.97126437,60.20114943,19.82758621,318,7.75,6.16966581,44.0874036,49.35732648,0.385604113,2624000,1242500,766
814,SO,Laupersdorf,de,1813,116.9677419,23.22118036,58.13568671,18.64313293,729,15.5,5.787781351,47.39549839,46.62379421,0.192926045,2616000,1240400,674
815,SO,Matzendorf,de,1332,118.1898846,19.36936937,62.91291291,17.71771772,561,11.27,7.794508415,40.30115146,51.72719221,0.177147919,2614400,1239600,695
816,SO,Mümliswil-Ramiswil,de,2441,68.79932356,18.4350676,61.45022532,20.11470709,1066,35.48,4.152542373,50.53672316,45.08474576,0.225988701,2619900,1243400,817
817,SO,Welschenrohr,de,1115,85.70330515,18.65470852,58.38565022,22.95964126,497,13.01,4.934464148,35.54356207,58.44255975,1.079414032,2606800,1236700,794
818,SO,Biezwil,de,305,73.4939759,20.0,58.36065574,21.63934426,127,4.15,6.746987952,51.80722892,41.44578313,0.0,2598400,1218100,598
819,SO,Lüterkofen-Ichertswil,de,797,179.9097065,20.57716437,56.83814304,22.5846926,350,4.43,12.98405467,52.61958998,33.94077449,0.455580866,2605600,1223500,512
820,SO,Lüterswil-Gächliwil,de,322,105.2287582,18.63354037,58.69565217,22.67080745,138,3.06,6.129032258,60.96774194,32.90322581,0.0,2600000,1218800,600
821,SO,Messen,de,1481,124.5584525,22.07967589,59.95948683,17.96083727,586,11.89,7.226890756,63.78151261,28.48739496,0.504201681,2600700,1215700,498
822,SO,Schnottwil,de,1135,158.2984658,19.82378855,62.55506608,17.62114537,492,7.17,8.659217877,59.2178771,31.98324022,0.139664805,2596400,1217800,512
823,SO,Unterramsern,de,218,137.9746835,18.34862385,66.51376147,15.13761468,89,1.58,7.142857143,63.63636364,28.57142857,0.649350649,2603400,1218700,479
824,SO,Lüsslingen-Nennigkofen,de,1083,138.6683739,21.05263158,60.01846722,18.9289012,466,7.81,9.731113957,60.69142125,25.60819462,3.969270167,2604800,1226600,464
825,SO,Buchegg,de,2580,114.2098274,18.13953488,62.63565891,19.2248062,1101,22.59,8.67459269,56.62703655,34.21400264,0.48436812,2602800,1220400,552
826,SO,Bättwil,de,1186,710.1796407,20.99494098,61.29848229,17.70657673,475,1.67,24.70588235,57.64705882,17.64705882,0.0,2605400,1259900,366
827,SO,Büren (SO),de,1043,167.4157303,22.53116012,61.16970278,16.2991371,418,6.23,7.073954984,46.94533762,45.65916399,0.321543408,2617500,1255400,512
828,SO,Dornach,de,6780,1170.984456,18.89380531,58.92330383,22.18289086,3099,5.79,35.71428571,17.42160279,46.34146341,0.522648084,2613300,1258800,405
829,SO,Gempen,de,867,144.7412354,22.9527105,58.24682814,18.80046136,358,5.99,6.365159129,52.59631491,41.03852596,0.0,2616600,1258300,689
830,SO,Hochwald,de,1310,156.8862275,19.54198473,61.3740458,19.08396947,527,8.35,8.92641737,45.71773221,45.35585042,0.0,2615200,1256200,653
831,SO,Hofstetten-Flüh,de,3157,419.8138298,20.52581565,58.34653152,21.12765284,1310,7.52,14.7606383,40.29255319,44.81382979,0.132978723,2605800,1258300,512
832,SO,Metzerlen-Mariastein,de,933,110.0235849,17.7920686,60.66452304,21.54340836,404,8.48,7.647058824,46.94117647,45.29411765,0.117647059,2602000,1257300,547
833,SO,Nuglar-St. Pantaleon,de,1487,234.5425868,18.62811029,60.25554808,21.11634163,632,6.34,11.35646688,45.89905363,42.27129338,0.47318612,2619200,1257900,495
834,SO,Rodersdorf,de,1310,244.8598131,19.08396947,54.35114504,26.5648855,539,5.35,14.28571429,54.69924812,30.82706767,0.187969925,2601400,1258900,385
835,SO,Seewen,de,1010,61.92519926,16.43564356,61.48514851,22.07920792,472,16.31,5.796217206,40.14643075,53.69127517,0.366076876,2616600,1253700,635
836,SO,Witterswil,de,1438,538.576779,18.42837274,58.83171071,22.73991655,583,2.67,14.01515152,65.90909091,20.07575758,0.0,2606300,1259400,347
837,SO,Hauenstein-Ifenthal,de,315,58.87850467,23.80952381,58.73015873,17.46031746,124,5.35,8.097928437,51.03578154,40.48964218,0.376647834,2631500,1247100,733
838,SO,Kienberg,de,513,60.14067995,18.71345029,61.208577,20.07797271,212,8.53,4.322429907,49.88317757,45.44392523,0.35046729,2639800,1254400,666
839,SO,Lostorf,de,3952,298.2641509,20.34412955,58.93218623,20.72368421,1655,13.25,13.7905049,37.60361718,48.53051997,0.07535795,2638400,1248200,561
840,SO,Niedergösgen,de,3865,894.6759259,19.74126779,61.78525226,18.47347995,1654,4.32,30.55555556,26.15740741,36.80555556,6.481481482,2641700,1247000,410
