,Canton,Commune,Language,Residents,Population density per km²,0-19 years,20-64 years,65 years or over,Private households,Surface area in km²,Settlement area,Agricultural area,Wooded area,Unproductive area,East coordinate,North coordinate,Elevation
1443,TG,Arbon,de,14633,2438.833333,19.19633705,60.75992619,20.04373676,6875,6.0,61.2312812,31.78036606,4.326123128,2.662229617,2750000,1264300,405
1444,TG,Dozwil,de,694,529.7709924,24.63976945,56.91642651,18.44380403,259,1.3,21.25984252,77.95275591,0.787401575,0.0,2741500,1271200,460
1445,TG,Egnach,de,4711,255.6158437,21.65145404,61.79155169,16.55699427,1823,18.43,14.61038961,77.75974026,5.952380952,1.677489178,2746000,1267400,437
1446,TG,Hefenhofen,de,1200,197.3684211,20.58333333,66.08333333,13.33333333,466,6.08,13.26860841,66.34304207,20.22653722,0.161812298,2740000,1269900,444
1447,TG,Horn,de,2752,1600.0,15.91569767,61.62790698,22.45639535,1332,1.73,53.14285714,37.71428571,7.428571429,1.714285714,2752500,1262400,402
1448,TG,Kesswil,de,992,222.4215247,21.97580645,54.83870968,23.18548387,411,4.47,16.32653061,54.42176871,29.02494331,0.22675737,2741300,1273100,444
1449,TG,Roggwil (TG),de,3068,255.0290939,23.89178618,60.29986962,15.8083442,1174,12.02,14.41743504,73.93126572,11.39983236,0.25146689,2747400,1262800,447
1450,TG,Romanshorn,de,11165,1278.923253,18.77295119,60.93148231,20.2955665,4976,8.73,36.13348677,39.01035673,23.24510932,1.611047181,2745900,1270100,422
1451,TG,Salmsach,de,1457,537.6383764,19.56074125,65.27110501,15.16815374,616,2.71,20.45454545,71.59090909,7.575757576,0.378787879,2745400,1269000,413
1452,TG,Sommeri,de,571,135.3080569,21.01576182,62.87215412,16.11208406,238,4.22,7.125890736,67.4584323,25.41567696,0.0,2739300,1270100,472
1453,TG,Uttwil,de,1857,425.9174312,19.00915455,60.68928379,20.30156166,802,4.35,19.67963387,49.65675057,29.5194508,1.14416476,2743100,1272000,435
1454,TG,Amriswil,de,13538,711.7770768,20.84502881,62.39474073,16.76023046,5788,19.02,20.48446551,66.14007372,12.95418641,0.421274355,2740000,1267700,461
1455,TG,Bischofszell,de,6017,519.6027634,20.60827655,61.27638358,18.11533987,2653,11.58,18.60465116,53.05770887,24.63393626,3.703703704,2736000,1261800,523
1456,TG,Erlen,de,3750,307.6292043,24.08,62.69333333,13.22666667,1478,12.19,15.29026983,68.92886345,14.88143908,0.899427637,2735100,1267900,467
1457,TG,Hauptwil-Gottshaus,de,1953,156.3650921,23.55350742,61.75115207,14.6953405,762,12.49,7.993605116,70.42366107,17.5059952,4.076738609,2739000,1261900,565
1458,TG,Hohentannen,de,586,73.15855181,22.01365188,66.89419795,11.09215017,226,8.01,9.0,73.125,16.625,1.25,2734500,1263600,550
1459,TG,Kradolf-Schönenberg,de,3592,328.0365297,19.48775056,64.50445434,16.0077951,1554,10.95,14.07678245,59.68921389,23.03473492,3.199268739,2732600,1265500,508
1460,TG,Sulgen,de,3869,424.2324561,20.08270871,62.52261566,17.39467563,1658,9.12,19.20529801,66.22516556,13.46578366,1.103752759,2731500,1266800,468
1461,TG,Zihlschlacht-Sitterdorf,de,2385,195.3316953,22.80922432,61.88679245,15.30398323,954,12.21,11.58586689,71.32292523,16.2695152,0.821692687,2736400,1263200,516
1462,TG,Basadingen-Schlattingen,de,1837,117.5303903,21.12139358,60.86009799,18.01850844,747,15.63,8.253358925,59.43698017,31.60588612,0.703774792,2698300,1280600,433
1463,TG,Diessenhofen,de,3999,396.7261905,18.45461365,61.34033508,20.20505126,1807,10.08,17.2,40.6,37.0,5.2,2698500,1282700,413
1464,TG,Schlatt (TG),de,1708,109.9099099,20.72599532,62.06088993,17.21311475,712,15.54,9.284332689,49.64539007,37.65312701,3.417150226,2695000,1279700,438
1465,TG,Aadorf,de,9037,453.2096289,20.58205157,61.02688945,18.39105898,3887,19.94,18.11339689,53.38685399,27.99799298,0.501756147,2710800,1260900,540
1466,TG,Felben-Wellhausen,de,2841,384.9593496,21.29531855,63.46356917,15.24111228,1202,7.38,15.58265583,55.4200542,25.88075881,3.116531165,2713200,1271000,396
1467,TG,Frauenfeld,de,25611,936.416819,19.0543126,62.4965835,18.4491039,11773,27.36,30.09495982,42.76844412,24.54346238,2.593133674,2709600,1268400,411
1468,TG,Gachnang,de,4364,448.0492813,22.38771769,63.15307058,14.45921173,1759,9.74,17.70091556,64.49643947,16.78535097,1.017293998,2706500,1266200,428
1469,TG,Hüttlingen,de,850,73.27586207,21.76470588,63.88235294,14.35294118,342,11.6,6.094420601,51.15879828,40.77253219,1.974248927,2716000,1270800,431
1470,TG,Matzingen,de,2918,379.9479167,21.62440027,64.70185058,13.67374914,1195,7.68,15.21456437,57.21716515,26.6579974,0.910273082,2712600,1264300,476
1471,TG,Neunforn,de,1039,91.46126761,17.99807507,60.15399423,21.8479307,433,11.36,6.784140969,65.81497797,24.14096916,3.259911894,2700000,1273700,472
1472,TG,Stettfurt,de,1204,189.010989,23.75415282,60.04983389,16.19601329,482,6.37,9.350237718,64.659271,25.51505547,0.475435816,2714200,1264800,498
1473,TG,Thundorf,de,1437,91.99743918,23.31245651,59.42936674,17.25817676,554,15.61,6.346153846,56.34615385,36.98717949,0.320512821,2716600,1267800,609
1474,TG,Uesslingen-Buch,de,1088,77.54811119,18.93382353,63.05147059,18.01470588,449,14.03,6.852248394,74.37544611,14.7751606,3.997144897,2705200,1273000,463
1475,TG,Warth-Weiningen,de,1346,163.9464068,19.0936107,62.33283804,18.57355126,577,8.21,13.26034063,53.28467153,27.85888078,5.596107056,2707900,1271400,447
1476,TG,Altnau,de,2244,333.4323923,21.70231729,61.7201426,16.57754011,946,6.73,16.09538003,67.80923994,14.75409836,1.341281669,2736800,1274800,464
1477,TG,Bottighofen,de,2226,923.6514523,19.58670261,56.87331536,23.53998203,991,2.41,30.4526749,32.09876543,34.97942387,2.469135803,2732800,1278000,429
1478,TG,Ermatingen,de,3455,330.3059273,17.74240232,61.56295224,20.69464544,1554,10.46,14.39539347,40.49904031,41.84261036,3.262955854,2723600,1281300,494
1479,TG,Gottlieben,de,340,1096.774194,20.29411765,58.23529412,21.47058824,169,0.32,40.0,14.28571429,17.14285714,28.57142857,2727400,1280600,397
1480,TG,Güttingen,de,1591,166.7714885,21.43306097,58.7680704,19.79886864,653,9.54,11.19246862,59.62343096,28.55648536,0.627615063,2739000,1274200,449
1481,TG,Kemmental,de,2545,101.6373802,21.13948919,62.6719057,16.18860511,1031,25.04,7.735247209,67.74322169,23.48484848,1.036682616,2726100,1273400,535
1482,TG,Kreuzlingen,de,22004,1913.391304,17.65133612,63.83384839,18.51481549,10441,11.5,48.17073171,21.42857143,27.43902439,2.961672474,2730100,1278800,452
1483,TG,Langrickenbach,de,1291,119.2059095,21.76607281,64.5236251,13.71030209,529,10.83,9.493087558,73.3640553,16.68202765,0.460829493,2736100,1273000,517
1484,TG,Lengwil,de,1734,195.0506187,22.9527105,63.37946943,13.66782007,678,8.89,12.44343891,68.77828054,18.09954751,0.678733032,2732000,1275700,538
1485,TG,Münsterlingen,de,3476,636.6300366,19.41887227,62.83084005,17.75028769,1584,5.46,25.82417582,52.56410256,20.6959707,0.915750916,2734400,1277000,431
1486,TG,Tägerwilen,de,4642,401.5570934,21.45626885,62.71003878,15.83369237,1918,11.56,17.97752809,43.56093345,36.90579084,1.555747623,2727300,1279600,468
1487,TG,Wäldi,de,1059,86.73218673,19.92445703,61.66194523,18.41359773,441,12.21,13.78178835,69.56521739,16.5709598,0.082034455,2724500,1277300,555
1488,TG,Affeltrangen,de,2552,176.8537769,23.11912226,61.79467085,15.0862069,1018,14.43,11.11111111,72.36111111,14.79166667,1.736111111,2719900,1265300,517
1489,TG,Bettwiesen,de,1247,323.8961039,19.48676824,67.52205293,12.99117883,516,3.85,14.17525773,62.62886598,22.68041237,0.515463918,2719600,1261900,547
1490,TG,Bichelsee-Balterswil,de,2864,233.6052202,22.55586592,61.52234637,15.92178771,1178,12.26,9.900990099,50.24752475,37.95379538,1.897689769,2713100,1256900,633
1491,TG,Braunau,de,778,84.84187568,23.5218509,62.33933162,14.13881748,304,9.17,5.131004367,69.3231441,25.10917031,0.436681223,2723100,1262600,667
1492,TG,Eschlikon,de,4372,702.8938907,20.12808783,62.3284538,17.54345837,1875,6.22,21.77419355,58.22580645,19.51612903,0.483870968,2715500,1258300,579
1493,TG,Fischingen,de,2792,91.30150425,21.91977077,60.95988539,17.12034384,1168,30.58,6.26223092,46.7384214,46.24918461,0.750163079,2715500,1252600,714
1494,TG,Lommis,de,1215,141.1149826,21.97530864,64.19753086,13.82716049,475,8.61,9.501738123,61.99304751,26.18771727,2.317497103,2715700,1264700,487
1495,TG,Münchwilen (TG),de,5624,720.1024328,22.27951636,62.69559033,15.02489331,2338,7.81,25.48015365,63.25224072,10.4993598,0.768245839,2717500,1259800,519
1496,TG,Rickenbach (TG),de,2774,1755.696203,18.63734679,64.78010094,16.58255227,1247,1.58,39.62264151,45.91194969,11.32075472,3.144654088,2721600,1256600,556
1497,TG,Schönholzerswilen,de,865,79.1399817,27.16763006,59.65317919,13.17919075,304,10.93,7.481751825,70.34671533,21.80656934,0.364963504,2728200,1264200,577
1498,TG,Sirnach,de,7766,627.3021002,19.7913984,63.66211692,16.54648468,3374,12.38,22.11460856,50.52461663,24.69733656,2.663438257,2718800,1256600,573
1499,TG,Tobel-Tägerschen,de,1615,227.1448664,21.98142415,63.83900929,14.17956656,675,7.11,13.22081575,57.24331927,29.25457103,0.281293952,2720100,1264000,551
1500,TG,Wängi,de,4720,287.279367,22.37288136,61.22881356,16.39830508,1873,16.43,14.40729483,68.14589666,16.83890578,0.607902736,2714100,1261700,511
1501,TG,Wilen (TG),de,2521,1120.444444,25.42641809,60.25386751,14.3197144,970,2.25,23.55555556,52.44444444,19.55555556,4.444444444,2720300,1256900,573
1502,TG,Wuppenau,de,1111,91.66666667,26.28262826,58.05580558,15.66156616,417,12.12,7.456503728,73.73653687,18.72410936,0.082850041,2725700,1262000,662
1503,TG,Berlingen,de,890,248.603352,14.60674157,56.40449438,28.98876404,437,3.58,14.00560224,26.8907563,58.82352941,0.280112045,2718700,1281300,532
1504,TG,Eschenz,de,1743,145.25,20.19506598,59.72461274,20.08032129,725,12.0,10.39933444,51.99667221,36.52246256,1.081530782,2707800,1278500,535
1505,TG,Herdern,de,1079,78.58703569,20.66728452,63.57738647,15.75532901,454,13.73,5.60815732,67.0793882,27.16678806,0.145666424,2710600,1273700,550
1506,TG,Homburg,de,1543,63.94529631,23.39598185,57.80946209,18.79455606,599,24.13,6.086956522,69.02691511,24.51345756,0.372670808,2717900,1277100,577
