,Canton,Commune,Language,Residents,Population density per km²,0-19 years,20-64 years,65 years or over,Private households,Surface area in km²,Settlement area,Agricultural area,Wooded area,Unproductive area,East coordinate,North coordinate,Elevation
1523,TI,Arbedo-Castione,it,5103,238.569425,18.85165589,62.8845777,18.26376641,2301,21.39,9.752683155,6.766215586,78.53476435,4.946336911,2723900,1119200,1150
1524,TI,Bellinzona,it,43220,263.1995615,19.53956502,59.79407682,20.66635817,19449,164.22,9.452129929,11.81059175,69.11451033,9.622767993,2722400,1116800,1010
1525,TI,Cadenazzo,it,2952,352.2673031,21.57859079,65.51490515,12.90650407,1226,8.38,17.26190476,24.64285714,55.47619048,2.619047619,2716700,1112200,440
1526,TI,Isone,it,398,31.02104443,17.08542714,55.77889447,27.13567839,178,12.83,3.485670023,18.28040279,66.53756778,11.69635941,2719600,1109800,1110
1527,TI,Lumino,it,1513,149.950446,20.68737607,60.5419696,18.77065433,667,10.09,6.293018682,12.48770895,75.41789577,5.801376598,2725500,1121200,830
1528,TI,Sant'Antonino,it,2525,385.4961832,18.97029703,63.36633663,17.66336634,1079,6.55,19.66463415,34.29878049,43.29268293,2.743902439,2719000,1112500,245
1529,TI,Acquarossa,it,1808,29.26513435,17.03539823,56.74778761,26.21681416,838,61.78,3.545410393,21.27246236,56.11138093,19.07074632,2714600,1146700,1440
1530,TI,Blenio,it,1803,8.925742574,16.19523017,56.46145313,27.34331669,845,202.0,1.281100064,24.83058812,29.35153584,44.53677598,2715200,1154200,1999
1531,TI,Serravalle,it,2071,21.3946281,18.63833897,56.63930468,24.72235635,941,96.8,1.777410354,12.41087114,47.28738245,38.52433605,2718700,1140900,1818
1532,TI,Airolo,it,1501,15.90885003,16.25582945,57.76149234,25.98267821,732,94.35,2.81779661,29.50211864,23.82415254,43.8559322,2689800,1153700,2088
1533,TI,Bedretto,it,110,1.463155094,6.363636364,66.36363636,27.27272727,58,75.19,0.996942709,24.56466835,15.04718862,59.39120032,2682300,1151100,2244
1534,TI,Bodio,it,992,153.0864198,18.5483871,60.38306452,21.06854839,473,6.48,13.84136858,3.110419907,69.9844479,13.06376361,2713400,1137300,934
1535,TI,Dalpe,it,182,12.50859107,11.53846154,56.59340659,31.86813187,82,14.55,2.066115703,16.32231405,49.72451791,31.88705234,2702600,1147800,1648
1536,TI,Faido,it,2903,21.89456218,15.08784017,57.83672063,27.0754392,1364,132.6,3.307157958,14.33856841,52.19722138,30.15705225,2704600,1148400,1681
1537,TI,Giornico,it,858,43.95491803,16.43356643,57.45920746,26.10722611,404,19.52,7.672634271,4.450127877,63.63171356,24.2455243,2710600,1140000,1206
1538,TI,Personico,it,335,8.614039599,15.2238806,59.70149254,25.07462687,152,38.89,1.464919044,4.626060139,64.86764328,29.04137754,2713800,1136400,1578
1539,TI,Pollegio,it,800,134.2281879,16.875,63.625,19.5,347,5.99,15.55183946,9.866220736,63.71237458,10.86956522,2715800,1135900,709
1540,TI,Prato (Leventina),it,406,24.13793103,16.50246305,58.37438424,25.12315271,186,16.82,3.448275862,17.12247325,46.96789536,32.46135553,2701300,1148800,1820
1541,TI,Quinto,it,1026,13.64180295,17.73879142,53.60623782,28.65497076,458,75.21,2.736450585,28.20138151,28.48034006,40.58182784,2697700,1151900,2058
1542,TI,Ascona,it,5481,1107.272727,14.39518336,54.51559934,31.0892173,2876,4.95,60.93117409,7.085020243,30.76923077,1.214574899,2702900,1112400,208
1543,TI,Brione (Verzasca),it,177,3.64873222,11.29943503,53.10734463,35.59322034,81,48.52,0.803792251,5.049464139,50.18549052,43.96125309,2704200,1128200,1625
1544,TI,Brione sopra Minusio,it,485,126.9633508,10.72164948,54.43298969,34.84536082,237,3.82,8.443271768,5.013192612,75.72559367,10.81794195,2706300,1115600,964
1545,TI,Brissago,it,1737,97.03910615,11.22625216,51.52561888,37.24812896,917,17.8,7.5928009,5.624296963,70.02249719,16.76040495,2698300,1108300,1066
1546,TI,Corippo,it,11,1.426718547,0.0,18.18181818,81.81818182,10,7.71,0.25974026,3.506493507,64.93506494,31.2987013,2708100,1121500,1134
1547,TI,Frasco,it,112,4.315992293,13.39285714,58.03571429,28.57142857,53,25.95,0.8477842,7.244701349,44.70134875,47.2061657,2705000,1132900,1762
1548,TI,Gordola,it,4698,675.971223,18.96551724,58.89740315,22.13707961,2062,6.94,21.61383285,10.51873199,61.23919308,6.628242075,2710000,1115500,489
1549,TI,Lavertezzo,it,1303,22.39986247,23.40752111,60.47582502,16.11665388,550,58.17,0.980392157,7.929136567,51.30718954,39.78328173,2708100,1123900,1645
1550,TI,Locarno,it,15826,846.7629749,16.5866296,58.745103,24.66826741,7868,18.69,26.87599787,32.99627461,30.8674827,9.260244811,2704700,1113800,200
1551,TI,Losone,it,6701,723.650108,18.23608417,58.57334726,23.19056857,3117,9.26,26.13390929,5.831533477,64.47084233,3.563714903,2702200,1113500,344
1552,TI,Mergoscia,it,213,17.50205423,13.61502347,57.74647887,28.63849765,105,12.17,2.304526749,8.806584362,71.60493827,17.28395062,2708700,1118500,1196
1553,TI,Minusio,it,7302,1246.075085,15.7080252,56.05313613,28.23883867,3623,5.86,34.07534247,8.904109589,54.96575342,2.054794521,2706300,1115000,460
1554,TI,Muralto,it,2682,4545.762712,11.5585384,53.8404176,34.601044,1458,0.59,93.65079365,3.174603175,1.587301587,1.587301587,2705600,1114500,226
1555,TI,Orselina,it,727,374.742268,8.803301238,52.40715268,38.78954608,407,1.94,27.83505155,1.546391753,70.6185567,0.0,2705200,1115200,640
1556,TI,Ronco sopra Ascona,it,587,117.4,6.984667802,55.87734242,37.13798978,327,5.01,14.22845691,2.404809619,74.749499,8.617234469,2699500,1111100,779
1557,TI,Sonogno,it,86,2.290889718,18.60465116,51.1627907,30.23255814,46,37.51,0.479360852,14.03462051,30.09320905,55.39280959,2703700,1134100,1890
1558,TI,Tenero-Contra,it,3194,865.5826558,20.06887915,56.66875391,23.26236694,1479,3.69,39.45945946,10.81081081,45.13513514,4.594594595,2708800,1115300,319
1559,TI,Vogorno,it,282,11.79916318,12.05673759,56.73758865,31.20567376,144,23.9,1.41903172,11.89482471,59.64106845,27.04507513,2709600,1120000,1376
1560,TI,Onsernone,it,682,6.471816284,10.26392962,53.07917889,36.6568915,348,105.38,1.044932079,9.584876983,67.91108578,21.45910516,2691300,1117400,1420
