,Canton,Commune,Language,Residents,Population density per km²,0-19 years,20-64 years,65 years or over,Private households,Surface area in km²,Settlement area,Agricultural area,Wooded area,Unproductive area,East coordinate,North coordinate,Elevation
586,UR,Altdorf (UR),de,9401,920.7639569,19.37027976,60.13190086,20.49781938,4119,10.21,24.53385672,34.24926398,39.45044161,1.766437684,2691800,1192900,542
587,UR,Andermatt,de,1390,22.32573081,14.67625899,61.58273381,23.74100719,704,62.26,1.543656536,40.31194726,6.01382859,52.13056762,2688600,1165400,2251
588,UR,Attinghausen,de,1725,36.78822777,25.27536232,58.37681159,16.34782609,655,46.89,1.663113006,34.30703625,18.55010661,45.47974414,2690900,1190700,1864
589,UR,Bauen,de,165,43.42105263,11.51515152,67.27272727,21.21212121,80,3.8,4.97382199,11.78010471,73.82198953,9.42408377,2686900,1199000,756
590,UR,Bürglen (UR),de,3977,74.95288353,21.39803872,59.91953734,18.68242394,1589,53.06,2.448210923,53.44632768,20.30131827,23.80414313,2693300,1192300,1719
591,UR,Erstfeld,de,3788,64.10560162,18.79619852,57.8405491,23.36325238,1652,59.09,3.759525826,10.53344623,30.99068586,54.71634208,2692500,1186300,1739
592,UR,Flüelen,de,1972,159.1606134,19.37119675,60.44624746,20.18255578,857,12.38,6.768734891,23.60999194,58.17888799,11.44238517,2690400,1195600,1282
593,UR,Göschenen,de,448,4.301488238,14.0625,60.71428571,25.22321429,195,104.15,0.825890714,6.472678383,12.8781331,79.8232978,2687900,1169100,2347
594,UR,Gurtnellen,de,540,6.481814908,19.25925926,55.0,25.74074074,228,83.31,1.318786716,11.56935619,28.82148423,58.29037286,2691000,1177100,1928
595,UR,Hospental,de,186,5.288598237,12.90322581,62.90322581,24.19354839,89,35.16,1.366353544,30.45829775,10.90236265,57.27298605,2686500,1163700,2106
596,UR,Isenthal,de,483,7.921928818,23.1884058,59.21325052,17.59834369,172,60.97,0.787401575,28.1003937,27.06692913,44.04527559,2685500,1196100,1731
597,UR,Realp,de,153,1.965570401,8.496732026,56.8627451,34.64052288,77,77.88,0.796812749,38.74823288,3.110140085,57.34481429,2681500,1161400,2413
598,UR,Schattdorf,de,5424,332.1494182,20.42772861,59.27359882,20.29867257,2200,16.33,12.95273174,32.28974831,41.00675261,13.75076734,2692800,1191000,1167
599,UR,Seedorf (UR),de,1858,120.0258398,26.96447793,58.18083961,14.85468245,703,15.48,5.555555556,17.37726098,42.3126615,34.75452196,2689500,1192800,1200
600,UR,Seelisberg,de,661,49.73664409,16.49016641,57.79122542,25.71860817,283,13.29,4.704097117,32.70106222,51.51745068,11.07738998,2687400,1202700,871
601,UR,Silenen,de,1949,13.46087437,19.44586968,59.15854284,21.39558748,787,144.78,0.89119171,12.92573402,20.31778929,65.86528497,2694100,1182900,2150
602,UR,Sisikon,de,369,22.43161094,21.40921409,61.78861789,16.80216802,160,16.46,1.277372263,33.75912409,46.65450122,18.30900243,2690100,1200500,1531
603,UR,Spiringen,de,849,13.12615955,22.14369847,59.12838634,18.72791519,326,64.68,1.266213712,37.8011118,18.9005559,42.03211859,2698300,1192100,1858
604,UR,Unterschächen,de,697,8.682112606,23.95982783,59.3974175,16.64275466,262,80.28,0.785340314,38.6811269,11.35627026,49.17726253,2701500,1191100,1960
605,UR,Wassen,de,398,4.108175062,17.08542714,56.28140704,26.63316583,169,96.88,1.13507378,11.53647714,22.79434527,64.53410381,2688800,1173400,2134
