,Canton,Commune,Language,Residents,Population density per km²,0-19 years,20-64 years,65 years or over,Private households,Surface area in km²,Settlement area,Agricultural area,Wooded area,Unproductive area,East coordinate,North coordinate,Elevation
1638,VD,Aigle,fr,10119,616.6361974,22.46269394,60.25298943,17.28431663,4406,16.41,25.45454545,33.93939394,37.15151515,3.454545455,2563600,1129700,404
1639,VD,Bex,fr,7771,80.4701253,23.53622442,58.21644576,18.24732982,3370,96.57,4.636241333,26.74117769,33.59205216,35.03052882,2567300,1122200,1604
1640,VD,Chessel,fr,426,120.0,19.95305164,64.78873239,15.25821596,178,3.55,11.04815864,62.60623229,20.67988669,5.66572238,2558100,1133300,377
1641,VD,Corbeyrier,fr,438,19.90909091,17.80821918,50.456621,31.73515982,205,22.0,2.26963232,36.17793917,54.42578302,7.126645483,2563200,1133400,1477
1642,VD,Gryon,fr,1332,87.51642576,19.66966967,58.48348348,21.84684685,649,15.22,11.23521682,28.31800263,52.16819974,8.278580815,2571000,1124800,1460
1643,VD,Lavey-Morcles,fr,946,66.61971831,21.56448203,59.40803383,19.02748414,458,14.2,5.155367232,18.36158192,62.92372881,13.55932203,2567700,1118700,1257
1644,VD,Leysin,fr,3970,213.7856758,24.43324937,62.31738035,13.24937028,1304,18.57,7.713052859,34.89751888,37.37864078,20.01078749,2567000,1132500,1494
1645,VD,Noville,fr,1118,107.6034649,25.2236136,61.27012522,13.50626118,417,10.39,8.461538462,41.44230769,35.19230769,14.90384615,2558600,1136900,374
1646,VD,Ollon,fr,7463,125.3022163,26.50408683,55.28607798,18.20983519,3058,59.55,10.58289938,40.11422812,45.45607257,3.846799933,2568500,1127400,1200
1647,VD,Ormont-Dessous,fr,1120,17.46997348,17.94642857,60.89285714,21.16071429,566,64.11,3.198127925,38.90795632,45.42901716,12.4648986,2570200,1134600,1488
1648,VD,Ormont-Dessus,fr,1448,23.51031012,16.16022099,56.35359116,27.48618785,693,61.59,3.587662338,33.49025974,32.84090909,30.08116883,2578000,1133600,1666
