,Canton,Commune,Language,Residents,Population density per km²,0-19 years,20-64 years,65 years or over,Private households,Surface area in km²,Settlement area,Agricultural area,Wooded area,Unproductive area,East coordinate,North coordinate,Elevation
1947,VS,Brig-Glis,de,13058,346.7339352,18.08086996,61.11196202,20.80716802,5734,37.67,11.67728238,12.07537155,48.43418259,27.81316348,2642400,1129600,1416
1948,VS,Eggerberg,de,335,55.37190083,13.13432836,65.37313433,21.49253731,150,6.04,5.911330049,15.10673235,62.56157635,16.42036125,2634000,1128900,1220
1949,VS,Naters,de,10075,68.43499525,18.44168734,60.8337469,20.72456576,4503,147.22,1.825461455,17.69815418,13.8165038,66.65988056,2642300,1130700,2428
1950,VS,Ried-Brig,de,2115,44.46079462,22.12765957,60.28368794,17.58865248,852,47.57,2.730518799,17.91640412,32.53518168,46.8178954,2644500,1129500,2065
1951,VS,Simplon,de,305,3.351280079,12.78688525,63.27868852,23.93442623,130,91.01,1.06464713,17.40752936,16.43068818,65.09713533,2647700,1116200,2304
1952,VS,Termen,de,946,50.72386059,22.72727273,59.30232558,17.97040169,371,18.65,3.002680965,42.84182306,29.59785523,24.55764075,2645000,1131000,2054
1953,VS,Zwischbergen,de,77,0.895036615,5.194805195,77.92207792,16.88311688,43,86.03,0.372352804,11.2520363,28.71771003,59.65790086,2654200,1116200,2129
1954,VS,Ardon,fr,3217,157.7734183,23.53124029,62.26297793,14.20578178,1304,20.39,6.637168142,20.30481809,31.51425762,41.54375615,2586000,1117800,1313
1955,VS,Chamoson,fr,3897,120.0184786,21.40107775,58.5065435,20.09237875,1694,32.47,6.991068679,24.7921158,31.16723129,37.04958423,2583500,1116600,1309
1956,VS,Conthey,fr,8797,103.5550324,21.30271684,59.84994885,18.84733432,3719,84.94,5.058228444,23.29137749,26.33807787,45.3123162,2589700,1119900,1818
1957,VS,Nendaz,fr,6623,77.04746394,17.56001812,61.27132719,21.16865469,2917,85.96,4.948189545,25.43951566,31.69169868,37.92059611,2589700,1115200,2085
1958,VS,Vétroz,fr,6372,610.9300096,23.90144382,62.50784683,13.59070935,2498,10.44,18.21668265,47.55512943,19.75071908,14.47746884,2587900,1119400,486
1959,VS,Bagnes,fr,8096,28.49901436,17.9965415,60.11610672,21.88735178,3790,284.08,2.086999367,14.76384881,12.76483424,70.38431759,2585500,1101200,2610
1960,VS,Bourg-Saint-Pierre,fr,198,2.20465427,12.62626263,61.11111111,26.26262626,88,89.81,0.768288609,27.27981294,7.270905244,64.68099321,2582100,1088700,2486
1961,VS,Liddes,fr,720,12.27830832,20.41666667,57.63888889,21.94444444,318,58.64,1.414933515,30.71939993,26.4405046,41.42516195,2580400,1093400,2184
1962,VS,Orsières,fr,3187,19.3233493,22.84279887,54.65955444,22.49764669,1354,164.93,1.788854527,15.91777333,26.90558486,55.38778728,2577400,1097700,2126
1963,VS,Sembrancher,fr,1042,58.93665158,19.38579655,63.243762,17.37044146,487,17.68,4.288939052,16.76072235,64.72911964,14.22121896,2577800,1103000,1136
1964,VS,Vollèges,fr,2018,113.3071308,24.67789891,59.81169475,15.51040634,815,17.81,7.30747611,23.15907813,57.16694772,12.36649803,2579100,1104000,1361
