Canton,Commune,Language,Residents,Population density per km²,0-19 years,20-64 years,65 years or over,Private households,Surface area in km²,Settlement area,Agricultural area,Wooded area,Unproductive area,East coordinate,North coordinate,Elevation
ZH,Aeugst am Albis,de,1982,250.5689001,19.67709384,62.76488396,17.5580222,835,7.91,12.65822785,51.13924051,30.88607595,5.316455696,2679300,1235700,673
ZH,Affoltern am Albis,de,12229,1154.76865,20.50862703,61.3296263,18.16174667,5348,10.59,30.67426401,40.17094017,28.20512821,0.949667616,2676800,1236800,502
ZH,Bonstetten,de,5548,746.7025572,23.66618601,60.31002163,16.02379236,2325,7.43,15.45698925,55.51075269,28.62903226,0.403225807,2677800,1241000,583
ZH,Hausen am Albis,de,3701,272.1323529,21.80491759,60.686301,17.50878141,1546,13.6,12.69258988,55.90608951,28.83345561,2.567865004,2682900,1233100,653
ZH,Hedingen,de,3734,571.8223583,21.7728977,61.75682914,16.47027317,1540,6.53,19.81707317,46.34146341,33.23170732,0.609756098,2676400,1239000,543
ZH,Kappel am Albis,de,1157,146.0858586,25.23768366,60.76058773,14.00172861,465,7.92,8.31202046,69.9488491,20.58823529,1.150895141,2682400,1231300,559
ZH,Knonau,de,2373,366.7697063,23.89380531,61.0619469,15.04424779,925,6.47,18.02773498,62.24961479,17.10323575,2.619414484,2677500,1230900,454
ZH,Maschwanden,de,656,139.8720682,23.01829268,59.75609756,17.22560976,272,4.69,8.974358974,59.61538462,23.71794872,7.692307692,2674800,1232000,410
ZH,Mettmenstetten,de,5094,390.9439754,22.73262662,59.7762073,17.49116608,2050,13.03,15.99081867,64.26931905,18.59219587,1.147666412,2677600,1233000,493
ZH,Obfelden,de,5599,742.5729443,23.50419718,59.77853188,16.71727094,2302,7.54,24.33862434,49.07407407,21.42857143,5.158730159,2675100,1235300,439
ZH,Ottenbach,de,2555,508.9641434,19.88258317,59.29549902,20.82191781,1106,5.02,20.75848303,54.69061876,20.35928144,4.191616767,2673000,1237200,435
ZH,Rifferswil,de,1123,172.5038402,27.87177204,56.54496883,15.58325913,442,6.51,10.3343465,64.89361702,22.6443769,2.127659575,2680100,1232800,591
ZH,Stallikon,de,3680,306.156406,20.67934783,62.88043478,16.44021739,1525,12.02,11.06489185,38.01996672,49.83361065,1.081530782,2679500,1242100,641
ZH,Wettswil am Albis,de,5188,1376.127321,23.22667695,56.8234387,19.94988435,2153,3.77,41.06666667,34.13333333,20.53333333,4.266666667,2678200,1243700,549
ZH,Adlikon,de,707,107.4468085,20.93352192,62.65912306,16.40735502,280,6.58,10.87613293,63.89728097,22.65861027,2.567975831,2694300,1271000,433
ZH,Benken (ZH),de,855,151.0600707,20.46783626,64.32748538,15.20467836,361,5.66,8.11287478,57.49559083,34.03880071,0.352733686,2691300,1278800,440
ZH,Berg am Irchel,de,570,81.31241084,14.38596491,60.52631579,25.0877193,250,7.01,4.978662873,48.07965861,45.3769559,1.564722617,2687200,1269400,458
ZH,Buch am Irchel,de,977,95.69049951,25.69089048,60.08188332,14.2272262,371,10.21,6.88976378,55.11811024,37.99212598,0,2689100,1267000,552
ZH,Dachsen,de,1920,711.1111111,21.51041667,58.33333333,20.15625,782,2.7,32.0754717,48.30188679,12.45283019,7.169811321,2688600,1280000,406
ZH,Dorf,de,658,118.3453237,22.18844985,61.24620061,16.56534954,257,5.56,12.45487365,46.3898917,40.97472924,0.180505415,2691000,1269800,472
ZH,Feuerthalen,de,3623,1460.887097,20.45266354,62.29643941,17.25089705,1613,2.48,42.8,11.2,44,2,2690400,1283000,435
ZH,Flaach,de,1414,139.0363815,21.21640736,61.88118812,16.90240453,593,10.17,8.333333333,50.88235294,33.7254902,7.058823529,2688000,1270100,350
ZH,Flurlingen,de,1438,596.6804979,21.00139082,60.77885953,18.21974965,619,2.41,22.82157676,17.01244813,56.43153527,3.734439834,2689400,1282000,473
ZH,Andelfingen,de,2215,328.6350148,23.06997743,57.78781038,19.14221219,925,6.74,15.82089552,45.97014925,32.98507463,5.223880597,2693300,1272200,399
ZH,Henggart,de,2239,738.9438944,22.95667709,56.81107637,20.23224654,905,3.03,23.02631579,56.25,19.73684211,0.986842105,2693600,1268700,441
ZH,Humlikon,de,487,132.3369565,22.99794661,55.85215606,21.14989733,184,3.68,9.510869565,62.5,27.7173913,0.27173913,2692700,1270300,435
ZH,Kleinandelfingen,de,2109,204.9562682,21.76386913,60.78710289,17.44902798,879,10.29,13.21671526,50.24295432,32.75024295,3.790087464,2693600,1272800,398
ZH,Laufen-Uhwiesen,de,1709,272.133758,20.42129901,58.27969573,21.29900527,727,6.28,12.40063593,39.58664547,44.51510334,3.497615262,2689800,1280600,485
ZH,Marthalen,de,1908,135.0318471,19.33962264,61.79245283,18.86792453,837,14.13,11.80212014,47.27915194,39.15194346,1.766784452,2690900,1275700,398
ZH,Ossingen,de,1641,125.3628724,21.08470445,61.18220597,17.73308958,699,13.09,9.320091673,56.4553094,29.10618793,5.118411001,2696800,1274200,421
ZH,Rheinau,de,1333,148.9385475,18.52963241,61.5903976,19.87996999,596,8.93,11.64613662,26.20380739,54.8712206,7.278835386,2687700,1277700,383
ZH,Thalheim an der Thur,de,917,142.3913043,21.81025082,61.2868048,16.90294438,386,6.44,8.992248062,65.58139535,21.24031008,4.186046512,2699000,1270600,391
ZH,Trüllikon,de,1066,111.5062762,19.88742964,56.4727955,23.63977486,471,9.56,8.682008368,61.71548117,29.28870293,0.313807531,2694300,1277100,467
ZH,Truttikon,de,477,108.1632653,24.31865828,57.65199161,18.0293501,181,4.41,6.363636364,64.54545455,28.63636364,0.454545455,2696800,1276200,466
ZH,Volken,de,362,113.125,26.79558011,61.87845304,11.32596685,149,3.2,6.097560976,64.63414634,29.26829268,0,2689300,1270000,419
ZH,Bachenbülach,de,4165,966.3573086,20.84033613,58.7515006,20.40816327,1778,4.31,24.00932401,34.03263403,38.92773893,3.03030303,2683600,1262000,439
ZH,Bassersdorf,de,11687,1294.241417,20.92923761,62.97595619,16.09480619,4950,9.03,30.70077864,37.59733037,30.92324805,0.778642937,2689800,1255500,472
ZH,Bülach,de,20447,1270.78931,20.74631975,62.36611728,16.88756297,8889,16.09,30.0124533,30.69738481,38.97882939,0.311332503,2683000,1263700,432
ZH,Dietlikon,de,7776,1829.647059,20.22890947,59.33641975,20.43467078,3451,4.25,47.16981132,21.69811321,30.4245283,0.70754717,2689000,1253400,453
ZH,Eglisau,de,5217,575.8278146,22.56085873,60.57120951,16.86793176,2131,9.06,17.36263736,34.06593407,41.31868132,7.252747253,2681600,1269900,402
ZH,Embrach,de,9440,743.892829,21.74788136,62.09745763,16.15466102,3910,12.7,20.36163522,32.70440252,45.20440252,1.729559748,2687100,1262000,472
ZH,Freienstein-Teufen,de,2371,282.2619048,19.69633066,61.74609869,18.55757065,977,8.4,9.712230216,38.60911271,49.40047962,2.278177458,2686300,1265100,473
ZH,Glattfelden,de,5200,423.1082181,22.11538462,63.76923077,14.11538462,2171,12.3,19.54397394,45.52117264,31.9218241,3.013029316,2680000,1268000,406
ZH,Hochfelden,de,1931,312.9659643,22.99326774,60.12428793,16.88244433,782,6.17,9.708737864,42.07119741,45.14563107,3.074433657,2681200,1264100,427
ZH,Höri,de,2845,593.9457203,19.89455185,65.48330404,14.62214411,1156,4.79,18.65828092,59.32914046,12.57861635,9.433962264,2680600,1262400,417
ZH,Hüntwangen,de,1031,209.9796334,20.75654704,60.42677013,18.81668283,420,4.91,23.87755102,42.24489796,32.04081633,1.836734694,2679200,1272200,389
ZH,Kloten,de,19679,1021.224702,18.80684994,65.04903704,16.14411301,9003,19.27,43.24883601,30.00517331,25.55613037,1.189860321,2686300,1256300,461
ZH,Lufingen,de,2401,463.5135135,23.53186172,65.22282382,11.24531445,944,5.18,15.25096525,47.49034749,36.67953668,0.579150579,2687200,1260500,530
ZH,Nürensdorf,de,5629,560.6573705,18.90211405,60.24160597,20.85627998,2454,10.04,21.90287413,46.7789891,31.31813677,0,2691300,1255800,564
ZH,Oberembrach,de,1073,104.5808967,17.89375582,62.53494874,19.57129543,478,10.26,6.869479882,58.48871443,34.34739941,0.294406281,2688900,1260300,566
ZH,Opfikon,de,20361,3642.397138,20.14144688,68.07622415,11.78232896,9221,5.59,62.14285714,20,15.53571429,2.321428571,2685900,1254100,432
ZH,Rafz,de,4576,428.4644195,20.93531469,62.23776224,16.82692308,1925,10.68,16.71335201,49.95331466,33.23996265,0.093370682,2682600,1274100,442
ZH,Rorbas,de,2830,637.3873874,23.95759717,63.67491166,12.36749117,1128,4.44,15.33333333,34.44444444,47.11111111,3.111111111,2685700,1264800,419
ZH,Wallisellen,de,16324,2542.679128,19.46826758,64.60426366,15.92746876,7343,6.42,56.74418605,21.08527132,21.08527132,1.085271318,2687200,1252200,447
ZH,Wasterkingen,de,560,141.4141414,21.25,58.75,20,249,3.96,7.360406091,48.98477157,43.40101523,0.253807107,2677800,1271600,453
ZH,Wil (ZH),de,1425,159.3959732,20.35087719,59.01754386,20.63157895,586,8.95,15.38461538,53.0657748,30.21181717,1.337792642,2680400,1273300,428
ZH,Winkel,de,4518,557.0900123,17.39707835,64.05489154,18.5480301,1996,8.11,21.38442522,44.00494438,27.56489493,7.045735476,2684200,1260800,479
ZH,Bachs,de,580,63.52683461,18.27586207,60.51724138,21.20689655,234,9.13,5.991285403,48.91067538,44.55337691,0.544662309,2675400,1264300,513
ZH,Boppelsen,de,1377,347.7272727,23.74727669,57.80682643,18.44589688,562,3.96,12.43654822,40.10152284,46.1928934,1.269035533,2672600,1258200,561
ZH,Buchs (ZH),de,6397,1095.376712,21.13490699,65.76520244,13.09989057,2709,5.84,26.40545145,46.67802385,25.72402044,1.192504259,2675400,1256800,468
ZH,Dällikon,de,4149,919.9556541,20.92070378,62.85852013,16.22077609,1739,4.51,23.83073497,42.76169265,32.29398664,1.113585746,2675400,1254800,448
ZH,Dänikon,de,1874,652.9616725,21.07790822,65.04802561,13.87406617,765,2.87,18.86120996,47.33096085,31.67259786,2.135231317,2672900,1255400,447
ZH,Dielsdorf,de,6001,1022.316865,20.06332278,63.32277954,16.61389768,2568,5.87,34.86394558,33.50340136,29.76190476,1.870748299,2676500,1259600,474
ZH,Hüttikon,de,926,582.3899371,26.24190065,60.47516199,13.28293737,351,1.59,15.625,48.125,36.25,0,2671500,1255400,501
ZH,Neerach,de,3178,526.1589404,16.07929515,63.78225299,20.13845186,1446,6.04,19.16666667,62,5.5,13.33333333,2678000,1263000,426
ZH,Niederglatt,de,4954,1376.111111,20.46830844,64.51352442,15.01816714,2079,3.6,33.51800554,54.84764543,7.756232687,3.878116344,2680300,1260600,420
ZH,Niederhasli,de,9264,819.8230088,22.13946459,62.44602763,15.41450777,3838,11.3,21.61204606,55.18157662,21.25775022,1.948627104,2678900,1259500,439
ZH,Niederweningen,de,3053,445.6934307,23.22305929,62.95447101,13.8224697,1202,6.85,14.16058394,46.13138686,38.97810219,0.729927007,2670700,1262000,539
ZH,Oberglatt,de,7108,861.5757576,22.18626899,66.6150816,11.19864941,2985,8.25,31.11380145,49.75786925,10.65375303,8.474576271,2681500,1259000,425
ZH,Oberweningen,de,1803,364.9797571,19.41209096,63.505269,17.08264004,757,4.94,10.59063136,34.01221996,55.19348269,0.203665988,2672900,1261700,576
ZH,Otelfingen,de,2939,411.048951,23.27322218,60.56481797,16.16195985,1183,7.15,25.17385257,36.85674548,36.99582754,0.973574409,2671500,1257200,467
ZH,Regensberg,de,485,204.6413502,19.79381443,60.6185567,19.58762887,227,2.37,9.205020921,33.89121339,55.64853556,1.255230126,2675400,1259600,640
ZH,Regensdorf,de,18457,1262.4487,20.7834426,62.72958769,16.48696971,7962,14.62,31.84931507,41.98630137,23.90410959,2.260273973,2677500,1253800,445
ZH,Rümlang,de,8172,658.5012087,20.50905531,64.4762604,15.01468429,3509,12.41,29.30756844,46.53784219,21.41706924,2.737520129,2682400,1256200,444
ZH,Schleinikon,de,728,128.1690141,19.09340659,65.93406593,14.97252747,302,5.68,6.713780919,49.29328622,43.46289753,0.530035336,2672100,1261200,572
