,Canton,Commune,Language,Residents,Population density per km²,0-19 years,20-64 years,65 years or over,Private households,Surface area in km²,Settlement area,Agricultural area,Wooded area,Unproductive area,East coordinate,North coordinate,Elevation
1233,AG,Aarau,de,21506,1742.787682,17.34399702,64.53547847,18.1205245,10472,12.34,49.19093851,11.40776699,32.2815534,7.1197411,2645800,1249000,377
1234,AG,Biberstein,de,1571,383.1707317,17.63208148,57.67027371,24.69764481,689,4.1,13.41463415,30.97560976,50.97560976,4.634146342,2648500,1251600,479
1235,AG,Buchs (AG),de,7966,1497.368421,20.91388401,63.82124027,15.26487572,3471,5.32,45.86466165,11.46616541,42.10526316,0.563909774,2647600,1248700,383
1236,AG,Densbüren,de,730,58.30670927,15.89041096,63.42465753,20.68493151,311,12.52,4.746835443,40.50632911,54.58860759,0.158227848,2646300,1256100,600
1237,AG,Erlinsbach (AG),de,4196,425.5578093,19.5900858,58.57959962,21.83031459,1806,9.86,12.5633232,32.92806484,53.29280648,1.215805471,2643200,1250100,559
1238,AG,Gränichen,de,7735,448.9262914,19.71557854,61.65481577,18.62960569,3264,17.23,13.65740741,28.76157407,57.34953704,0.231481482,2650000,1245400,484
1239,AG,Hirschthal,de,1590,450.4249292,21.25786164,61.19496855,17.54716981,677,3.53,16.10169492,32.48587571,51.1299435,0.282485876,2646500,1241400,501
1240,AG,Küttigen,de,6182,519.4957983,19.47589777,60.3202847,20.20381753,2724,11.9,15.97981497,33.13708999,49.70563499,1.177460051,2646000,1251800,497
1241,AG,Muhen,de,3878,551.6358464,20.65497679,60.18566271,19.1593605,1603,7.03,17.09401709,40.5982906,41.16809117,1.13960114,2646500,1243400,478
1242,AG,Oberentfelden,de,8363,1168.01676,20.57873969,61.11443262,18.30682769,3617,7.16,32.73231623,24.82662968,41.33148405,1.109570042,2645900,1245200,421
1243,AG,Suhr,de,10431,982.2033898,22.39478478,61.50896367,16.09625156,4478,10.62,26.57869934,27.80395853,44.58058435,1.036757776,2648400,1246900,404
1244,AG,Unterentfelden,de,4157,1443.402778,21.43372624,59.73057493,18.83569882,1740,2.88,43.05555556,26.38888889,29.86111111,0.694444444,2645700,1246400,421
1245,AG,Baden,de,19342,1468.64085,17.86785234,65.85151484,16.28063282,9171,13.17,33.66186505,8.642911296,55.87566338,1.819560273,2665400,1258400,450
1246,AG,Bellikon,de,1562,316.194332,17.73367478,63.06017926,19.20614597,709,4.94,10.20408163,61.02040816,28.57142857,0.204081633,2668400,1249100,647
1247,AG,Bergdietikon,de,2829,476.2626263,20.36055143,59.45563803,20.18381053,1223,5.94,17.32673267,54.12541254,27.06270627,1.485148515,2671600,1249000,590
1248,AG,Birmenstorf (AG),de,2991,383.4615385,21.56469408,62.55432966,15.88097626,1238,7.8,15.33505155,44.20103093,36.34020619,4.12371134,2661000,1257100,397
1249,AG,Ennetbaden,de,3499,1658.293839,19.89139754,61.64618462,18.46241783,1587,2.11,36.61971831,19.71830986,41.31455399,2.34741784,2666100,1259100,468
1250,AG,Fislisbach,de,5546,1098.217822,20.42913812,59.50234403,20.06851785,2463,5.05,25.390625,44.7265625,29.8828125,0.0,2664400,1254300,425
1251,AG,Freienwil,de,1053,263.9097744,24.21652422,62.20322887,13.58024691,399,3.99,9.5,52.0,38.5,0.0,2666900,1261800,518
1252,AG,Gebenstorf,de,5414,958.2300885,18.58145549,63.04026598,18.37827854,2360,5.65,27.46478873,26.93661972,39.78873239,5.809859155,2660600,1259100,425
1253,AG,Killwangen,de,2074,853.4979424,21.45612343,61.8611379,16.68273867,782,2.43,24.4813278,24.89626556,48.9626556,1.659751037,2669000,1253900,507
1254,AG,Künten,de,1750,357.8732106,21.31428571,63.08571429,15.6,698,4.89,12.88343558,56.44171779,26.99386503,3.680981595,2667300,1249100,412
1255,AG,Mägenwil,de,2112,606.8965517,23.53219697,63.16287879,13.30492424,834,3.48,30.37249284,38.68194842,30.65902579,0.286532951,2659700,1251500,424
1256,AG,Mellingen,de,5633,1156.673511,21.64033375,63.37653116,14.9831351,2433,4.87,29.46058091,33.60995851,31.53526971,5.394190871,2663000,1252300,377
1257,AG,Neuenhof,de,8825,1640.334572,20.18130312,62.31161473,17.50708215,3804,5.38,27.17190388,17.56007394,49.72273567,5.545286507,2667200,1255400,442
1258,AG,Niederrohrdorf,de,4105,1232.732733,20.17052375,61.16930572,18.66017052,1800,3.33,26.64670659,42.21556886,29.64071856,1.497005988,2665400,1252900,426
1259,AG,Oberrohrdorf,de,4072,946.9767442,18.07465619,58.27603143,23.64931238,1819,4.3,21.99074074,40.0462963,37.96296296,0.0,2666300,1252400,588
