,Canton,Commune,Language,Residents,Population density per km²,0-19 years,20-64 years,65 years or over,Private households,Surface area in km²,Settlement area,Agricultural area,Wooded area,Unproductive area,East coordinate,North coordinate,Elevation
162,BE,Aarberg,de,4628,583.6065574,19.79256698,59.72342264,20.48401037,2109,7.93,23.4256927,44.20654912,29.72292191,2.644836272,2587800,1210500,449
163,BE,Bargen (BE),de,999,127.0992366,20.22022022,60.56056056,19.21921922,413,7.86,7.124681934,70.61068702,18.956743,3.307888041,2586600,1209700,445
164,BE,Grossaffoltern,de,3018,200.132626,19.71504307,60.70245195,19.58250497,1298,15.08,10.8322325,62.21928666,26.15587847,0.792602378,2594100,1212800,516
165,BE,Kallnach,de,2222,123.5817575,17.68676868,61.34113411,20.97209721,973,17.98,7.888888889,66.44444444,19.83333333,5.833333333,2584600,1207700,453
166,BE,Kappelen,de,1419,129.3527803,21.77589852,61.94503171,16.27906977,620,10.97,10.84558824,74.17279412,14.15441176,0.827205882,2587000,1212100,441
167,BE,Lyss,de,15282,1030.478759,19.21868865,62.34786023,18.43345112,6968,14.83,32.2797579,34.63349025,32.54875588,0.537995965,2590000,1213700,464
168,BE,Meikirch,de,2461,240.5669599,17.1881349,57.86265746,24.94920764,1052,10.23,9.27734375,64.35546875,26.26953125,0.09765625,2594300,1206500,665
169,BE,Radelfingen,de,1285,87.35554045,19.14396887,63.89105058,16.96498054,574,14.71,6.730115568,57.71583956,31.40720598,4.146838885,2587400,1207800,553
170,BE,Rapperswil (BE),de,2618,115.9433127,19.93888464,61.87929717,18.18181818,1114,22.58,8.070953437,64.3902439,27.13968958,0.399113082,2597900,1212500,539
171,BE,Schüpfen,de,3734,188.2056452,19.71076593,61.86395287,18.4252812,1671,19.84,10.77000503,55.81278309,33.01459487,0.402617011,2595400,1209700,562
172,BE,Seedorf (BE),de,3116,149.3052228,19.03080873,60.9114249,20.05776637,1396,20.87,7.710727969,59.6743295,32.32758621,0.287356322,2590400,1209400,585
173,BE,Aarwangen,de,4561,460.7070707,20.45604034,60.5349704,19.00898926,1914,9.9,14.99493414,45.79533941,35.96757852,3.242147923,2625100,1232200,456
174,BE,Auswil,de,439,95.02164502,18.22323462,62.18678815,19.58997722,194,4.62,5.043859649,84.21052632,10.52631579,0.219298246,2630100,1220500,681
175,BE,Bannwil,de,669,139.958159,21.07623318,57.84753363,21.07623318,299,4.78,8.8794926,46.7230444,39.32346723,5.073995772,2622500,1231800,446
176,BE,Bleienbach,de,697,122.4956063,17.21664275,58.39311334,24.3902439,318,5.69,8.289241623,56.9664903,33.15696649,1.587301587,2624100,1226000,503
177,BE,Busswil bei Melchnau,de,188,65.73426573,13.82978723,60.10638298,26.06382979,89,2.86,5.555555556,53.47222222,40.97222222,0.0,2629500,1226100,603
178,BE,Gondiswil,de,730,77.65957447,22.19178082,55.61643836,22.19178082,315,9.4,5.869797225,69.37033084,24.33297759,0.426894344,2632900,1221800,679
179,BE,Langenthal,de,15624,906.7904817,19.05401946,60.1702509,20.77572965,7194,17.23,29.87238979,31.72853828,38.16705336,0.232018562,2626400,1229100,485
180,BE,Lotzwil,de,2565,412.3794212,21.24756335,60.27290448,18.47953216,1111,6.22,15.48387097,47.25806452,37.09677419,0.161290323,2626700,1226700,512
181,BE,Madiswil,de,3279,141.5192059,20.06709363,58.52394023,21.40896615,1376,23.17,6.994818653,62.91018998,29.79274611,0.30224525,2627300,1223900,616
182,BE,Melchnau,de,1517,147.5680934,21.29202373,55.96572182,22.74225445,669,10.28,7.714561234,56.8948891,35.10125362,0.289296046,2631300,1225800,587
183,BE,Obersteckholz,de,419,107.1611253,21.00238663,51.55131265,27.44630072,181,3.91,5.37084399,66.75191816,27.87723785,0.0,2628900,1227700,535
184,BE,Oeschenbach,de,232,59.18367347,17.24137931,59.9137931,22.84482759,104,3.92,5.154639175,64.43298969,29.89690722,0.515463918,2623400,1216800,734
185,BE,Reisiswil,de,176,87.56218905,21.59090909,59.65909091,18.75,77,2.01,5.583756345,63.45177665,30.45685279,0.507614213,2630700,1223900,675
186,BE,Roggwil (BE),de,4083,520.7908163,20.96497673,58.90276757,20.13225569,1746,7.84,25.76530612,45.15306122,28.18877551,0.892857143,2629000,1232200,454
187,BE,Rohrbach,de,1480,362.745098,20.27027027,58.10810811,21.62162162,670,4.08,15.93137255,63.23529412,20.34313725,0.490196078,2628600,1220600,596
