,Canton,Commune,Language,Residents,Population density per km²,0-19 years,20-64 years,65 years or over,Private households,Surface area in km²,Settlement area,Agricultural area,Wooded area,Unproductive area,East coordinate,North coordinate,Elevation
913,BL,Aesch (BL),de,10352,1398.918919,18.70170015,58.63601236,22.66228748,4608,7.4,35.81081081,47.02702703,16.35135135,0.810810811,2611900,1257500,317
914,BL,Allschwil,de,21157,2379.865017,18.23982606,59.19081155,22.56936239,10045,8.89,42.98540965,29.29292929,27.16049383,0.561167228,2607300,1266700,323
915,BL,Arlesheim,de,9129,1317.316017,19.57498083,53.71891773,26.70610144,4188,6.93,37.98561151,9.352517986,52.23021583,0.431654676,2613700,1260400,400
916,BL,Biel-Benken,de,3414,828.6407767,22.75922671,54.27650849,22.96426479,1403,4.12,25.24271845,54.36893204,20.14563107,0.242718447,2606700,1261800,343
917,BL,Binningen,de,15678,3515.246637,18.8034188,57.48182166,23.71475954,7273,4.46,71.42857143,20.98214286,7.142857143,0.446428571,2610000,1265200,320
918,BL,Birsfelden,de,10303,4104.780876,16.14092983,59.25458604,24.60448413,5100,2.52,79.45736434,0.0,1.550387597,18.99224806,2613900,1266900,258
919,BL,Bottmingen,de,6693,2238.461538,20.40938294,55.17705065,24.41356641,2964,2.99,53.69127517,26.51006711,18.45637584,1.342281879,2610100,1263600,346
920,BL,Ettingen,de,5267,833.3860759,18.94816784,58.3064363,22.74539586,2361,6.32,17.11145997,33.28100471,49.60753532,0.0,2608000,1258900,429
921,BL,Münchenstein,de,12099,1682.753825,18.69575998,60.21158773,21.09265229,5428,7.19,58.07799443,15.59888579,24.23398329,2.08913649,2613400,1262500,289
922,BL,Muttenz,de,17809,1069.60961,18.77702285,57.63939581,23.58358134,7992,16.66,41.11980735,16.07465382,40.45755569,2.347983143,2615100,1264300,286
923,BL,Oberwil (BL),de,11138,1411.66033,20.11133058,57.20057461,22.68809481,4836,7.89,35.70520966,44.21855146,19.56797967,0.508259212,2608900,1262600,350
924,BL,Pfeffingen,de,2336,477.7096115,19.77739726,57.32020548,22.90239726,942,4.89,14.6090535,32.09876543,53.29218107,0.0,2611300,1256500,466
