,Canton,Commune,Language,Residents,Population density per km²,0-19 years,20-64 years,65 years or over,Private households,Surface area in km²,Settlement area,Agricultural area,Wooded area,Unproductive area,East coordinate,North coordinate,Elevation
668,FR,Châtillon (FR),fr,466,358.4615385,21.88841202,60.08583691,18.02575107,189,1.3,16.79389313,54.96183206,28.24427481,0.0,2553400,1187000,540
669,FR,Cheiry,fr,416,64.49612403,24.03846154,60.57692308,15.38461538,163,6.45,6.976744186,65.42635659,27.28682171,0.310077519,2554000,1177800,594
670,FR,Cugy (FR),fr,1752,177.3279352,24.08675799,60.61643836,15.29680365,699,9.88,10.50505051,69.8989899,19.49494949,0.101010101,2558200,1184900,508
671,FR,Fétigny,fr,1060,258.5365854,26.98113208,58.96226415,14.05660377,419,4.1,12.53071253,76.16707617,9.828009828,1.474201474,2560100,1183100,463
672,FR,Gletterens,fr,1071,418.359375,23.3426704,61.06442577,15.59290383,426,2.58,22.39382239,58.68725869,18.14671815,0.772200772,2561800,1193900,470
673,FR,Lully (FR),fr,1141,207.4545455,28.04557406,59.68448729,12.26993865,423,5.5,12.13235294,66.72794118,20.95588235,0.183823529,2554800,1187100,527
674,FR,Ménières,fr,439,100.2283105,26.42369021,58.54214123,15.03416856,160,4.38,9.195402299,74.94252874,15.86206897,0.0,2557400,1181500,503
675,FR,Montagny (FR),fr,2634,150.1710376,24.1078208,61.19969628,14.69248292,1049,17.54,8.162100457,57.24885845,33.84703196,0.742009132,2566200,1185200,582
676,FR,Nuvilly,fr,426,107.0351759,27.23004695,59.85915493,12.91079812,161,3.98,7.088607595,75.69620253,17.21518987,0.0,2553600,1181500,636
677,FR,Prévondavaux,fr,65,35.71428571,24.61538462,63.07692308,12.30769231,29,1.82,4.918032787,63.93442623,31.14754098,0.0,2550900,1175600,687
678,FR,Saint-Aubin (FR),fr,1801,228.2636248,24.93059411,61.52137701,13.54802887,720,7.89,10.36662453,81.28950695,6.447534766,1.896333755,2565100,1193400,465
679,FR,Sévaz,fr,289,115.6,25.25951557,62.62975779,12.11072664,115,2.5,8.870967742,87.5,1.612903226,2.016129032,2557000,1187600,487
680,FR,Surpierre,fr,708,84.79041916,20.9039548,62.42937853,16.66666667,281,8.35,5.78313253,57.22891566,36.38554217,0.602409639,2555800,1177200,620
681,FR,Vallon,fr,447,127.3504274,24.60850112,62.41610738,12.9753915,192,3.51,9.142857143,87.14285714,3.714285714,0.0,2563100,1192700,483
682,FR,Les Montets,fr,1474,143.2458698,24.35549525,60.78697422,14.85753053,577,10.28,11.34820563,59.74781765,28.7099903,0.193986421,2556500,1185100,539
683,FR,Delley-Portalban,fr,1148,166.3768116,18.55400697,62.19512195,19.25087108,501,6.91,12.70072993,68.02919708,14.16058394,5.109489051,2563200,1196300,496
684,FR,Belmont-Broye,fr,5521,214.075223,25.26716175,61.69172251,13.04111574,2130,25.79,10.03098373,65.91789311,23.23780015,0.813323005,2567600,1190700,528
685,FR,Estavayer,fr,9716,242.1734796,22.29312474,61.85673117,15.85014409,3996,40.12,13.97662273,67.84381995,17.01069386,1.168863467,2555000,1188900,490
686,FR,Cheyres-Châbles,fr,2320,238.4378212,22.93103448,59.56896552,17.5,960,9.73,12.04943357,48.09474768,32.02883625,7.826982492,2550300,1185000,579
687,FR,Auboranges,fr,289,149.7409326,26.64359862,61.24567474,12.11072664,105,1.93,8.29015544,80.82901554,10.88082902,0.0,2551500,1159200,667
688,FR,Billens-Hennens,fr,772,157.8732106,20.07772021,63.34196891,16.58031088,306,4.89,6.530612245,80.20408163,13.26530612,0.0,2558700,1171200,767
689,FR,Chapelle (Glâne),fr,291,144.0594059,24.05498282,61.8556701,14.08934708,104,2.02,8.457711443,72.63681592,18.90547264,0.0,2553700,1159800,736
690,FR,Le Châtelard,fr,372,49.66622163,24.46236559,59.94623656,15.59139785,131,7.49,3.212851406,69.87951807,26.90763052,0.0,2564700,1169700,964
691,FR,Châtonnaye,fr,846,134.0729002,24.58628842,62.1749409,13.23877069,328,6.31,5.85443038,70.7278481,23.41772152,0.0,2561800,1178200,700
692,FR,Ecublens (FR),fr,339,69.46721311,19.46902655,69.02654867,11.50442478,128,4.88,8.436213992,65.43209877,24.07407407,2.057613169,2551800,1162200,619
693,FR,Grangettes,fr,212,64.04833837,28.77358491,59.43396226,11.79245283,78,3.31,5.05952381,68.75,26.19047619,0.0,2563400,1169700,863
694,FR,Massonnens,fr,527,122.8438228,25.42694497,61.10056926,13.47248577,201,4.29,6.046511628,73.25581395,20.69767442,0.0,2564500,1172200,770
695,FR,Mézières (FR),fr,1045,117.0212766,20.4784689,62.8708134,16.6507177,395,8.93,6.815642458,79.32960894,13.74301676,0.111731844,2560800,1169800,769
696,FR,Montet (Glâne),fr,385,175.0,24.93506494,61.55844156,13.50649351,141,2.2,7.657657658,70.72072072,19.81981982,1.801801802,2552200,1166100,634
