,Canton,Commune,Language,Residents,Population density per km²,0-19 years,20-64 years,65 years or over,Private households,Surface area in km²,Settlement area,Agricultural area,Wooded area,Unproductive area,East coordinate,North coordinate,Elevation
2104,GE,Aire-la-Ville,fr,1184,404.0955631,26.43581081,60.30405405,13.26013514,405,2.93,20.13888889,42.01388889,23.26388889,14.58333333,2492300,1116400,379
2105,GE,Anières,fr,2403,624.1558442,24.67748648,58.21889305,17.10362047,748,3.87,31.15183246,63.87434555,4.97382199,0.0,2506300,1125700,423
2106,GE,Avully,fr,1757,380.3030303,23.56289129,61.46841207,14.96869664,659,4.62,14.62365591,63.65591398,15.05376344,6.666666667,2489000,1114200,410
2107,GE,Avusy,fr,1416,273.8878143,22.31638418,61.22881356,16.45480226,494,5.17,21.66344294,68.85880077,9.090909091,0.386847195,2489600,1111300,423
2108,GE,Bardonnex,fr,2299,459.8,21.661592,59.28664637,19.05176164,862,5.0,23.30677291,73.30677291,3.386454183,0.0,2497000,1111800,470
2109,GE,Bellevue,fr,3300,756.8807339,28.15151515,58.72727273,13.12121212,1045,4.36,42.92237443,40.1826484,15.52511416,1.369863014,2501000,1123500,415
2110,GE,Bernex,fr,10234,790.2702703,21.81942544,58.75512996,19.4254446,3796,12.95,21.20277564,58.98226677,16.4996145,3.3153431,2494600,1114700,417
2111,GE,Carouge (GE),fr,22458,8317.777778,20.95021819,64.9835248,14.06625701,9440,2.7,84.90566038,4.905660377,8.679245283,1.509433962,2499700,1115600,383
2112,GE,Cartigny,fr,974,222.3744292,24.9486653,58.62422998,16.42710472,336,4.38,11.33786848,55.10204082,28.79818594,4.761904762,2490400,1114600,425
2113,GE,Céligny,fr,799,171.4592275,27.40926158,56.44555695,16.14518148,281,4.65,16.05995717,64.45396146,19.27194861,0.214132762,2504300,1134000,441
2114,GE,Chancy,fr,1686,313.3828996,29.95255042,59.54922894,10.49822064,544,5.38,11.33828996,52.04460967,32.34200743,4.275092937,2486700,1112000,366
2115,GE,Chêne-Bougeries,fr,12215,2950.483092,22.82439623,55.16987311,22.00573066,4557,4.14,83.09178744,10.14492754,5.797101449,0.966183575,2503400,1117000,421
2116,GE,Chêne-Bourg,fr,8708,6803.125,22.18649518,61.73633441,16.07717042,3508,1.28,88.0952381,8.73015873,3.174603175,0.0,2504000,1116600,421
2117,GE,Choulex,fr,1179,301.5345269,22.81594572,57.59117897,19.59287532,429,3.91,15.34526854,73.657289,9.462915601,1.534526854,2506400,1120000,433
2118,GE,Collex-Bossy,fr,1713,248.6211901,26.15294804,59.36952715,14.47752481,568,6.89,10.20408163,64.43148688,24.9271137,0.437317784,2498400,1125200,437
2119,GE,Collonge-Bellerive,fr,8204,1340.522876,24.63432472,56.63091175,18.73476353,2723,6.12,58.37398374,36.91056911,4.06504065,0.650406504,2504400,1121800,413
2120,GE,Cologny,fr,5574,1527.123288,22.22820237,56.06386796,21.70792967,2054,3.66,77.98913043,17.66304348,4.076086957,0.27173913,2503100,1119200,430
2121,GE,Confignon,fr,4626,1670.036101,25.61608301,56.33376567,18.05015132,1599,2.77,43.47826087,47.10144928,8.333333333,1.086956522,2495500,1114500,411
2122,GE,Corsier (GE),fr,2108,769.3430657,22.43833017,59.20303605,18.35863378,736,2.74,33.57142857,61.07142857,3.928571429,1.428571429,2506400,1124200,431
2123,GE,Dardagny,fr,1864,216.744186,22.90772532,60.83690987,16.25536481,617,8.6,9.418604651,61.27906977,26.04651163,3.255813954,2488600,1116900,437
2124,GE,Genève,fr,201818,12669.0521,17.94686302,66.18636593,15.86677105,89672,15.92,92.13341724,1.510383889,3.146633103,3.209565765,2500000,1117900,402
2125,GE,Genthod,fr,2782,969.3379791,23.18475917,58.69877786,18.11646298,899,2.87,54.80427046,37.01067616,8.185053381,0.0,2501100,1124600,410
2126,GE,Le Grand-Saconnex,fr,12167,2777.853881,25.20752856,59.74356867,15.04890277,4403,4.38,83.71559633,14.22018349,2.064220184,0.0,2498600,1121100,428
2127,GE,Gy,fr,477,144.9848024,25.99580713,57.86163522,16.14255765,157,3.29,8.150470219,59.2476489,30.72100313,1.880877743,2508900,1123000,463
2128,GE,Hermance,fr,1062,737.5,26.83615819,54.14312618,19.02071563,337,1.44,28.96551724,57.24137931,11.72413793,2.068965517,2508000,1128500,406
2129,GE,Jussy,fr,1279,112.6872247,23.22126661,56.21579359,20.5629398,426,11.35,8.105726872,54.97797357,36.74008811,0.176211454,2509500,1121000,482
2130,GE,Laconnex,fr,699,182.5065274,20.60085837,57.65379113,21.7453505,233,3.83,10.47120419,79.84293194,8.90052356,0.785340314,2491700,1112600,441
2131,GE,Lancy,fr,32851,6887.002096,23.63702779,60.86268302,15.50028918,12898,4.77,88.01652893,5.165289256,6.404958678,0.413223141,2498100,1116300,400
2132,GE,Meinier,fr,2131,306.618705,23.74472079,56.07695917,20.17832004,779,6.95,14.55331412,80.54755043,3.314121038,1.585014409,2507100,1122400,437
2133,GE,Meyrin,fr,25255,2540.744467,22.75984953,60.63749753,16.60265294,9487,9.94,59.09090909,35.75757576,4.242424242,0.909090909,2494600,1120600,430
2134,GE,Onex,fr,18964,6748.754448,21.88356887,58.63214512,19.48428602,7667,2.82,77.30496454,6.028368794,13.12056738,3.546099291,2496500,1115500,417
2135,GE,Perly-Certoux,fr,3052,1201.574803,22.87024902,57.79816514,19.33158585,1178,2.54,26.953125,69.53125,3.125,0.390625,2495800,1112600,418
2136,GE,Plan-les-Ouates,fr,10657,1821.709402,25.79525195,59.88552125,14.3192268,3612,5.85,51.37457045,44.50171821,3.608247423,0.515463918,2498000,1113900,423
2137,GE,Pregny-Chambésy,fr,3881,1197.839506,24.58129348,58.61891265,16.79979387,1219,3.24,70.46153846,15.38461538,13.23076923,0.923076923,2500100,1122000,411
2138,GE,Presinge,fr,713,151.3800425,21.31837307,56.24123422,22.44039271,228,4.71,12.71186441,68.00847458,18.6440678,0.63559322,2509000,1119200,471
2139,GE,Puplinge,fr,2468,924.3445693,22.24473258,60.41329011,17.34197731,979,2.67,21.13207547,74.33962264,4.528301887,0.0,2506800,1118300,430
2140,GE,Russin,fr,541,110.1832994,17.9297597,66.17375231,15.89648799,197,4.91,13.59026369,53.14401623,21.09533469,12.1703854,2490000,1116100,405
2141,GE,Satigny,fr,4187,221.3002114,27.25101505,58.60998328,14.13900167,1318,18.92,19.46060286,59.54521417,18.50872554,2.48545743,2491500,1119100,426
2142,GE,Soral,fr,853,290.1360544,20.98475967,58.73388042,20.28135991,288,2.94,12.62798635,83.27645051,4.09556314,0.0,2492200,1111300,444
2143,GE,Thônex,fr,14122,3696.858639,20.92479819,60.45885852,18.61634329,5581,3.82,71.875,22.65625,4.427083333,1.041666667,2504200,1116000,423
2144,GE,Troinex,fr,2501,729.154519,24.03038784,60.29588165,15.67373051,852,3.43,26.37681159,66.37681159,7.246376812,0.0,2500400,1113000,430
2145,GE,Vandoeuvres,fr,2484,561.9909502,23.75201288,57.48792271,18.76006441,811,4.42,55.30474041,38.8261851,5.869074492,0.0,2504600,1119600,444
2146,GE,Vernier,fr,34791,4524.187256,22.33911069,62.63688885,15.02400046,13016,7.69,72.78645833,13.15104167,9.635416667,4.427083333,2495700,1119100,419
2147,GE,Versoix,fr,13432,1279.238095,25.93061346,58.68820727,15.38117927,4752,10.5,32.31939164,29.08745247,37.83269962,0.760456274,2501500,1126500,424
2148,GE,Veyrier,fr,11612,1786.461538,24.88804685,56.83775405,18.2741991,3800,6.5,50.30674847,33.28220859,13.80368098,2.607361963,2503200,1113600,420
