,Canton,Commune,Language,Residents,Population density per km²,0-19 years,20-64 years,65 years or over,Private households,Surface area in km²,Settlement area,Agricultural area,Wooded area,Unproductive area,East coordinate,North coordinate,Elevation
2149,JU,Boécourt,fr,914,74.00809717,23.41356674,57.43982495,19.14660832,375,12.35,8.603896104,49.51298701,41.31493506,0.568181818,2583100,1244300,598
2150,JU,Bourrignon,fr,262,19.33579336,17.55725191,66.03053435,16.41221374,112,13.55,2.43902439,65.33628973,32.07686622,0.14781966,2585400,1249600,814
2151,JU,Châtillon (JU),fr,481,90.58380414,24.94802495,61.33056133,13.72141372,186,5.31,5.313092979,42.50474383,51.99240987,0.189753321,2592800,1241800,623
2152,JU,Courchapoix,fr,426,66.66666667,23.70892019,56.33802817,19.95305164,176,6.39,2.954898911,51.94401244,44.79004666,0.311041991,2601300,1244200,567
2153,JU,Courrendlin,fr,3519,163.2946636,23.95566922,59.39187269,16.65245808,1504,21.55,9.348837209,43.48837209,46.37209302,0.790697674,2595100,1243100,651
2154,JU,Courroux,fr,3314,167.8824721,23.2045866,57.996379,18.7990344,1361,19.74,7.493670886,53.3164557,38.43037975,0.759493671,2595200,1245600,488
2155,JU,Courtételle,fr,2612,192.6253687,23.0474732,60.10719755,16.84532925,1098,13.55,8.179808401,55.78481945,35.74060427,0.29476787,2590900,1243300,521
2156,JU,Delémont,fr,12682,577.2416932,19.98107554,59.06797035,20.95095411,5887,21.97,20.1726488,36.93775557,41.98091776,0.908677874,2593000,1245900,526
2157,JU,Develier,fr,1354,108.5805934,21.71344165,57.31166913,20.97488922,534,12.47,8.937198068,47.42351047,43.23671498,0.40257649,2589100,1245000,570
2158,JU,Ederswiler,de,122,36.85800604,15.57377049,53.27868852,31.14754098,57,3.31,4.191616767,54.79041916,41.01796407,0.0,2592200,1252800,627
2159,JU,Mervelier,fr,500,51.33470226,18.2,59.2,22.6,207,9.74,3.586065574,43.85245902,52.15163934,0.409836066,2604800,1243600,750
2160,JU,Mettembert,fr,107,45.72649573,19.62616822,57.94392523,22.42990654,49,2.34,7.627118644,39.40677966,52.54237288,0.423728814,2591200,1249700,644
2161,JU,Movelier,fr,422,52.22772277,17.53554502,57.34597156,25.11848341,193,8.08,4.59057072,45.78163772,49.62779156,0.0,2590800,1251000,716
2162,JU,Pleigne,fr,356,19.95515695,18.53932584,59.5505618,21.91011236,157,17.84,2.975856261,47.27681078,49.18585065,0.561482313,2588800,1250700,729
2163,JU,Rossemaison,fr,637,337.037037,19.62323391,60.43956044,19.93720565,255,1.89,15.02590674,66.83937824,18.13471503,0.0,2592700,1243900,467
2164,JU,Saulcy,fr,260,33.07888041,18.46153846,61.53846154,20.0,109,7.86,3.282828283,46.33838384,50.37878788,0.0,2578500,1239000,890
2165,JU,Soyhières,fr,433,57.73333333,13.85681293,64.66512702,21.47806005,203,7.51,7.436918991,29.88047809,61.4873838,1.195219124,2594800,1249100,518
2166,JU,Haute-Sorne,fr,6987,98.35304054,22.09818234,58.30828682,19.59353084,2893,71.04,7.163969036,35.93244194,56.39690359,0.506685433,2585400,1243000,671
2167,JU,Val Terbi,fr,3202,68.57999572,23.23547783,57.46408495,19.30043723,1325,46.69,4.800685812,46.72096014,47.94256322,0.535790827,2598200,1244200,651
2168,JU,Le Bémont (JU),fr,317,27.14041096,21.76656151,59.93690852,18.29652997,125,11.68,4.284490146,68.12339332,26.3924593,1.199657241,2567900,1234900,978
2169,JU,Les Bois,fr,1241,50.22258195,22.64302981,58.66236906,18.69460113,510,24.71,5.517241379,56.8356998,37.36308316,0.283975659,2559600,1225200,1002
2170,JU,Les Breuleux,fr,1526,141.0351201,22.41153342,58.58453473,19.00393185,631,10.82,7.670979667,62.19963031,30.03696858,0.092421442,2567100,1229100,1035
2171,JU,La Chaux-des-Breuleux,fr,90,22.22222222,23.33333333,54.44444444,22.22222222,36,4.05,3.456790124,70.12345679,23.20987654,3.209876543,2568900,1230300,1014
2172,JU,Les Enfers,fr,133,18.67977528,20.30075188,66.16541353,13.53383459,51,7.12,2.687411598,48.93917963,47.94908062,0.424328147,2570200,1237500,946
2173,JU,Les Genevez (JU),fr,502,36.83052091,19.12350598,54.98007968,25.89641434,219,13.63,3.597650514,53.74449339,41.55653451,1.101321586,2576600,1234000,1032
2174,JU,Lajoux (JU),fr,673,54.36187399,20.50520059,60.77265973,18.72213967,283,12.38,4.600484262,62.71186441,32.20338983,0.484261501,2577200,1236500,984
2175,JU,Montfaucon,fr,603,33.04109589,21.06135987,57.54560531,21.39303483,261,18.25,3.89254386,65.46052632,30.04385965,0.603070175,2570800,1236900,953
2176,JU,Muriaux,fr,502,29.73933649,18.7250996,58.96414343,22.31075697,203,16.88,3.197158082,60.50917703,36.116045,0.177619893,2565200,1232900,1018
2177,JU,Le Noirmont,fr,1847,90.58361942,21.22360585,61.50514348,17.27125068,791,20.39,6.130456106,50.80922021,42.52084355,0.539480137,2563500,1230500,993
2178,JU,Saignelégier,fr,2609,82.38080202,20.2759678,59.94633959,19.7776926,1157,31.67,5.447103275,42.38035264,50.66120907,1.511335013,2566500,1234000,900
2179,JU,Saint-Brais,fr,220,14.51187335,21.36363636,56.36363636,22.27272727,92,15.16,3.632760898,49.8678996,45.04623514,1.453104359,2575400,1239500,892
