,Canton,Commune,Language,Residents,Population density per km²,0-19 years,20-64 years,65 years or over,Private households,Surface area in km²,Settlement area,Agricultural area,Wooded area,Unproductive area,East coordinate,North coordinate,Elevation
504,LU,Doppleschwand,de,782,112.5179856,28.00511509,57.67263427,14.32225064,290,6.95,5.755395684,55.68345324,36.11510791,2.446043166,2646900,1207700,753
505,LU,Entlebuch,de,3284,57.71528998,22.25943971,59.59196102,18.14859927,1335,56.9,3.686150606,49.552396,42.82955942,3.931893979,2647600,1204800,1001
506,LU,Flühli,de,1961,18.12887122,21.7236104,60.68332483,17.59306476,725,108.17,2.497918401,44.52770839,38.23665464,14.73771857,2644000,1192600,1364
507,LU,Hasle (LU),de,1744,43.26469859,22.64908257,59.91972477,17.43119266,671,40.31,3.248202331,49.09496653,39.57351847,8.083312671,2646600,1203400,1116
508,LU,Romoos,de,666,17.81224926,22.67267267,59.60960961,17.71771772,255,37.39,2.088353414,35.79651941,60.80321285,1.311914324,2644800,1206900,952
509,LU,Schüpfheim,de,4219,109.9270453,22.89642095,58.87651102,18.22706803,1636,38.38,5.28508201,59.38557667,33.16844572,2.1608956,2644200,1200400,923
510,LU,Werthenstein,de,2122,134.3037975,23.75117813,61.31008483,14.93873704,827,15.8,8.259212198,58.5133418,30.62261753,2.604828463,2650400,1211600,701
511,LU,Escholzmatt-Marbach,de,4342,40.80827068,20.95808383,58.19898664,20.84292953,1774,106.4,2.915177732,47.27289825,46.46417153,3.347752492,2637800,1196000,1038
512,LU,Aesch (LU),de,1246,270.2819957,18.53932584,63.08186196,18.3788122,542,4.61,11.39784946,66.23655914,18.92473118,3.440860215,2660800,1234200,482
513,LU,Altwis,de,437,149.1467577,27.68878719,59.72540046,12.58581236,151,2.93,7.167235495,62.79863481,29.69283276,0.341296928,2661600,1232200,498
514,LU,Ballwil,de,2764,315.1653364,24.4934877,59.69609262,15.81041968,1104,8.77,13.25714286,74.62857143,11.77142857,0.342857143,2666900,1222800,495
515,LU,Emmen,de,30929,1518.360334,19.93598241,62.99912703,17.06489056,13661,20.37,38.12561335,42.05103042,17.61530913,2.208047105,2664800,1214100,441
516,LU,Ermensee,de,990,173.9894552,22.82828283,62.72727273,14.44444444,378,5.69,8.391608392,54.72027972,36.18881119,0.699300699,2660700,1231000,480
517,LU,Eschenbach (LU),de,3583,271.2339137,21.4903712,60.61959252,17.89003628,1474,13.21,11.06060606,73.03030303,14.6969697,1.212121212,2666900,1220500,483
518,LU,Hitzkirch,de,5316,215.5717762,22.53574116,62.2648608,15.19939804,2027,24.66,10.13431013,66.0968661,23.36182336,0.407000407,2662500,1230800,646
519,LU,Hochdorf,de,9846,1021.369295,21.69408897,60.66422913,17.6416819,3995,9.64,26.15062762,61.92468619,10.46025105,1.464435146,2664500,1224500,492
520,LU,Hohenrain,de,2415,103.960396,23.68530021,62.27743271,14.03726708,896,23.22,6.086583798,74.41063009,19.07415345,0.428632662,2666700,1225900,581
521,LU,Inwil,de,2620,253.875969,23.89312977,63.24427481,12.86259542,1058,10.32,12.43926142,69.58211856,15.93780369,2.040816327,2669200,1219500,433
522,LU,Rain,de,2807,297.9830149,25.82828643,61.48913431,12.68257927,1080,9.42,10.48728814,73.19915254,16.31355932,0.0,2661900,1220000,567
523,LU,Römerswil,de,1789,107.7710843,25.48910006,60.87199553,13.63890442,692,16.6,7.913669065,76.07913669,15.52757794,0.479616307,2661200,1224600,633
524,LU,Rothenburg,de,7617,491.7366043,22.02967047,60.11553105,17.85479848,3027,15.49,17.81794706,65.65526146,16.20400258,0.322788896,2663000,1216600,527
525,LU,Schongau,de,1039,83.58809332,24.06159769,62.84889317,13.08950914,398,12.43,5.872888174,68.38294449,25.2614642,0.482703138,2662500,1235600,707
526,LU,Adligenswil,de,5391,771.2446352,21.70283806,55.87089594,22.426266,2211,6.99,23.49570201,50.85959885,23.63896848,2.005730659,2670300,1213700,581
527,LU,Buchrain,de,6242,1300.416667,22.33258571,63.0727331,14.59468119,2494,4.8,32.77661795,43.21503132,16.49269311,7.51565762,2669000,1216500,420
