,Canton,Commune,Language,Residents,Population density per km²,0-19 years,20-64 years,65 years or over,Private households,Surface area in km²,Settlement area,Agricultural area,Wooded area,Unproductive area,East coordinate,North coordinate,Elevation
1051,SG,Häggenschwil,de,1365,150.4961411,25.49450549,60.58608059,13.91941392,505,9.07,9.210526316,75.43859649,13.59649123,1.754385965,2743400,1262100,548
1052,SG,Muolen,de,1200,116.1665053,25.16666667,60.41666667,14.41666667,458,10.33,7.425265188,83.89585342,7.618129219,1.06075217,2742000,1265100,507
1053,SG,St. Gallen,de,75833,1925.67293,18.07656297,64.30313979,17.62029723,36992,39.38,40.8085431,28.96008136,28.45156369,1.779811849,2746200,1254600,688
1054,SG,Wittenbach,de,9691,794.3442623,20.59642968,57.75461769,21.64895264,4186,12.2,20.6557377,56.96721311,20.90163934,1.475409836,2746300,1258700,592
1055,SG,Berg (SG),de,850,226.0638298,22.47058824,59.05882353,18.47058824,328,3.76,12.43386243,69.57671958,17.1957672,0.793650794,2748300,1261300,516
1056,SG,Eggersriet,de,2280,256.1797753,23.11403509,55.0877193,21.79824561,914,8.9,9.988776655,56.56565657,32.996633,0.448933782,2753400,1256600,828
1057,SG,Goldach,de,9269,1967.940552,18.80461754,59.38073147,21.81465099,4168,4.71,55.907173,28.90295359,12.86919831,2.320675106,2752800,1260000,447
1058,SG,Mörschwil,de,3585,364.3292683,22.28730823,58.85634589,18.85634589,1406,9.84,19.67545639,57.50507099,21.60243408,1.21703854,2749600,1259500,544
1059,SG,Rorschach,de,9441,5303.932584,18.52557992,62.49337994,18.98104014,4649,1.78,93.22033898,6.214689266,0.564971751,0.0,2754800,1260700,419
1060,SG,Rorschacherberg,de,7286,1027.64457,17.4855888,62.10540763,20.40900357,3216,7.09,29.91573034,44.66292135,25.28089888,0.140449438,2756100,1259500,566
1061,SG,Steinach,de,3606,801.3333333,18.88519135,60.70438159,20.41042707,1608,4.49,31.77777778,61.55555556,5.333333333,1.333333333,2750800,1263300,409
1062,SG,Tübach,de,1461,734.1708543,23.81930185,58.04243669,18.13826146,580,1.99,33.33333333,60.60606061,6.060606061,0.0,2751700,1261400,424
1063,SG,Untereggen,de,1073,150.4908836,24.41752097,61.23019571,14.35228332,399,7.14,6.364922207,49.22206506,42.29137199,2.121640736,2751800,1257900,616
1064,SG,Au (SG),de,7789,1675.053763,19.52753884,62.25446142,18.21799974,3489,4.65,52.14592275,36.69527897,4.506437768,6.652360515,2765800,1256100,404
1065,SG,Balgach,de,4798,735.8895706,19.50812839,63.94330971,16.5485619,2079,6.52,24.27921093,54.17298938,20.63732929,0.91047041,2763800,1253000,407
1066,SG,Berneck,de,3963,705.1601423,20.96896291,60.38354782,18.64748928,1690,5.62,23.21428571,46.07142857,29.64285714,1.071428571,2764000,1255000,463
1067,SG,Diepoldsau,de,6471,575.2,22.05223304,62.84963684,15.09813012,2567,11.25,23.86058981,63.36014298,4.557640751,8.221626452,2767400,1250600,408
1068,SG,Rheineck,de,3419,1547.058824,17.43199766,61.59695817,20.97104417,1574,2.2,55.85585586,30.63063063,6.306306306,7.207207207,2762100,1259500,400
1069,SG,St. Margrethen,de,5890,857.3508006,19.47368421,63.14091681,17.38539898,2499,6.87,36.78832117,25.40145985,31.67883212,6.131386861,2765500,1258100,404
1070,SG,Thal,de,6571,680.2277433,20.66656521,61.19312129,18.1403135,2828,9.65,37.86307054,42.63485477,11.82572614,7.676348548,2760700,1259300,412
1071,SG,Widnau,de,9619,2279.383886,21.22881796,62.96912361,15.80205843,4037,4.22,67.53554502,26.54028436,1.421800948,4.502369668,2765700,1252900,405
1072,SG,Altstätten,de,11733,297.3390775,20.65115486,61.04150686,18.30733828,5080,39.46,13.57431749,60.69261881,21.05662285,4.676440849,2758700,1249600,469
1073,SG,Eichberg,de,1535,282.1691176,23.32247557,62.80130293,13.8762215,611,5.44,10.90909091,44.54545455,43.63636364,0.909090909,2757500,1245900,563
1074,SG,Marbach (SG),de,2105,480.5936073,21.90023753,62.70783848,15.39192399,866,4.38,20.40816327,72.33560091,5.215419501,2.040816327,2760800,1251200,411
1075,SG,Oberriet (SG),de,8879,256.6184971,22.43495889,62.23673837,15.32830274,3518,34.6,14.84804631,54.70332851,26.42547033,4.023154848,2760700,1243200,421
1076,SG,Rebstein,de,4494,1023.690205,19.49265688,61.83800623,18.66933689,1931,4.39,30.11494253,61.83908046,6.896551724,1.149425287,2761900,1252100,409
1077,SG,Rüthi (SG),de,2399,257.1275456,21.46727803,63.31804919,15.21467278,983,9.33,14.16309013,47.4248927,33.0472103,5.364806867,2758800,1240300,458
1078,SG,Buchs (SG),de,12661,793.7931034,20.04580997,63.28094147,16.67324856,5431,15.95,26.72521957,37.45294856,29.04642409,6.775407779,2754100,1225800,451
1079,SG,Gams,de,3471,155.8599012,22.73120138,61.48084126,15.78795736,1352,22.27,9.60502693,57.36086176,29.44344704,3.590664273,2751800,1230100,786
1080,SG,Grabs,de,7068,129.3321134,21.91567629,60.04527448,18.03904924,2965,54.65,5.303584492,49.23189466,33.37600585,12.088515,2751900,1227700,1281
1081,SG,Sennwald,de,5592,134.5524543,18.47281831,66.07653791,15.45064378,2435,41.56,10.15643803,48.35138387,30.46931408,11.02286402,2756300,1236500,462
1082,SG,Sevelen,de,5104,168.2822288,20.90517241,63.55799373,15.53683386,2184,30.33,7.722772277,49.5379538,34.81848185,7.920792079,2755200,1221000,856
1083,SG,Wartau,de,5297,126.8742515,22.59769681,60.50594676,16.89635643,2220,41.75,6.80239521,45.77245509,38.44311377,8.982035928,2755300,1217800,1065
1084,SG,Bad Ragaz,de,6102,240.2362205,17.27302524,61.83218617,20.89478859,2866,25.4,11.56114825,43.60990956,33.81832481,11.01061738,2756900,1207900,915
1085,SG,Flums,de,4858,64.64404524,21.09921779,59.90119391,18.99958831,1980,75.15,4.096834264,51.31683959,32.65496143,11.93136472,2744500,1217400,1457
1086,SG,Mels,de,8623,61.98691683,22.39359852,60.22266033,17.38374116,3517,139.11,2.802529463,41.9948261,29.54153492,25.66110951,2750500,1212500,1729
1087,SG,Pfäfers,de,1565,12.18278063,21.27795527,58.40255591,20.31948882,668,128.46,1.090257768,27.51343353,31.43057394,39.96573476,2756900,1206300,1829
1088,SG,Quarten,de,2937,47.55505181,18.18181818,61.08273749,20.73544433,1305,61.77,3.776949262,33.60350138,46.05284487,16.56670449,2736700,1219000,1397
1089,SG,Sargans,de,6133,648.3086681,19.99021686,62.57948802,17.43029512,2702,9.46,21.45877378,37.52642706,34.46088795,6.553911205,2752100,1212700,484
1090,SG,Vilters-Wangs,de,4817,147.2188264,23.25098609,58.99937721,17.7496367,1948,32.72,5.990220049,44.80440098,33.7408313,15.46454768,2753000,1210100,1318
1091,SG,Walenstadt,de,5679,124.321366,20.91917591,59.28860715,19.79221694,2480,45.72,6.063922942,34.36952715,40.58669002,18.97985989,2742200,1220900,1187
1092,SG,Amden,de,1784,41.46908415,17.09641256,57.17488789,25.72869955,837,43.04,3.159851301,36.91914498,47.83921933,12.08178439,2729800,1223400,1336
1093,SG,Benken (SG),de,3025,183.4445118,23.60330579,62.21487603,14.18181818,1197,16.5,10.44323012,71.70613236,11.71827565,6.13236187,2718700,1228700,410
1094,SG,Kaltbrunn,de,4839,259.6030043,22.8766274,62.49225047,14.63112213,1961,18.64,9.159482759,54.52586207,32.8125,3.502155172,2720300,1230400,557
1095,SG,Schänis,de,3819,95.71428571,21.96910186,61.50824823,16.52264991,1539,39.9,4.714142427,49.8996991,40.59679037,4.789368104,2721900,1224500,732
1096,SG,Weesen,de,1724,319.2592593,19.31554524,58.7587007,21.92575406,803,5.4,12.36162362,34.13284133,49.63099631,3.874538745,2725500,1221500,669
1097,SG,Schmerikon,de,3710,896.1352657,20.10781671,59.94609164,19.94609164,1590,4.15,30.56234719,38.14180929,20.78239609,10.51344743,2714000,1231600,418
1098,SG,Uznach,de,6417,851.061008,22.62739598,60.38647343,16.98613059,2590,7.54,26.02377807,44.78203435,23.11756935,6.07661823,2717100,1231500,426
1099,SG,Rapperswil-Jona,de,26999,1213.438202,18.81551169,60.2466758,20.93781251,12200,22.26,31.73814898,35.34988713,29.66139955,3.250564334,2705900,1232200,438
1100,SG,Gommiswald,de,5167,153.8255433,21.05670602,60.07354364,18.86975034,2181,33.59,7.161961367,48.32095097,42.61515602,1.901931649,2720000,1232300,849
