,Canton,Commune,Language,Residents,Population density per km²,0-19 years,20-64 years,65 years or over,Private households,Surface area in km²,Settlement area,Agricultural area,Wooded area,Unproductive area,East coordinate,North coordinate,Elevation
999,SH,Gächlingen,de,836,117.2510519,17.94258373,59.68899522,22.36842105,372,7.13,7.905686547,74.06380028,17.61442441,0.416088766,2679700,1284200,520
1000,SH,Löhningen,de,1472,215.5197657,23.50543478,57.60869565,18.88586957,603,6.83,8.905109489,53.13868613,37.81021898,0.145985402,2683700,1284000,479
1001,SH,Neunkirch,de,2289,127.734375,20.05242464,61.24945391,18.69812145,1026,17.92,7.382550336,47.0917226,44.91051454,0.615212528,2679600,1282700,459
1002,SH,Büttenhardt,de,416,104.0,22.11538462,57.21153846,20.67307692,168,4.0,4.738154614,49.12718204,46.13466334,0.0,2691100,1290300,643
1003,SH,Dörflingen,de,1028,176.6323024,18.48249027,61.86770428,19.64980545,418,5.82,8.823529412,61.93771626,28.02768166,1.211072664,2696100,1284800,446
1004,SH,Lohn (SH),de,758,155.6468172,24.80211082,58.31134565,16.88654354,306,4.87,8.401639344,54.09836066,37.29508197,0.204918033,2692400,1290200,612
1005,SH,Stetten (SH),de,1351,286.2288136,23.98223538,58.99333827,17.02442635,511,4.72,10.82802548,41.40127389,47.34607219,0.42462845,2691800,1288400,554
1006,SH,Thayngen,de,5453,273.7449799,19.67724189,59.60022006,20.72253805,2450,19.92,15.63126253,56.11222445,27.00400802,1.25250501,2695100,1289300,498
1007,SH,Bargen (SH),de,313,37.84764208,12.77955272,69.6485623,17.57188498,142,8.27,4.594921403,27.6904474,67.47279323,0.241837969,2687900,1294100,719
1008,SH,Beringen,de,4804,257.1734475,20.316403,60.30391341,19.3796836,2083,18.68,11.04557641,29.54423592,59.35656836,0.053619303,2685300,1283700,533
1009,SH,Buchberg,de,866,147.78157,19.63048499,59.23787529,21.13163972,373,5.86,8.376068376,52.13675214,34.35897436,5.128205128,2684500,1269700,458
1010,SH,Merishausen,de,859,48.91799544,24.330617,57.85797439,17.81140861,337,17.57,3.705815279,29.24743444,66.87571266,0.171037628,2687700,1290700,686
1011,SH,Neuhausen am Rheinfall,de,10512,1314.0,18.75951294,59.84589041,21.39459665,4923,8.0,32.16520651,13.51689612,50.93867334,3.37922403,2688500,1281900,466
1012,SH,Rüdlingen,de,750,136.1161525,19.73333333,58.0,22.26666667,328,5.52,10.84990958,46.29294756,32.91139241,9.945750452,2684600,1270700,405
1013,SH,Schaffhausen,de,36587,874.2413381,17.73034138,60.87408096,21.39557766,17131,41.84,24.79732952,20.26704816,53.31425846,1.621363853,2689600,1283800,503
1014,SH,Beggingen,de,476,37.83783784,18.69747899,57.98319328,23.31932773,210,12.58,4.509493671,50.55379747,44.69936709,0.237341772,2682400,1291300,637
1015,SH,Schleitheim,de,1681,77.716135,19.33372992,56.51397977,24.1522903,733,21.63,6.409660938,57.87273572,35.11379471,0.603808639,2678600,1289300,551
1016,SH,Siblingen,de,886,94.0552017,18.96162528,60.83521445,20.20316027,383,9.42,6.510138741,44.29028815,48.55923159,0.640341516,2681200,1285400,593
1017,SH,Buch (SH),de,316,83.15789474,16.4556962,63.92405063,19.62025316,139,3.8,6.824146982,73.49081365,19.68503937,0.0,2700900,1286000,430
1018,SH,Hemishofen,de,468,59.31558935,16.88034188,63.24786325,19.87179487,208,7.9,5.576679341,35.36121673,55.38656527,3.675538657,2704600,1281600,492
1019,SH,Ramsen,de,1469,108.8148148,18.10755616,62.96800545,18.92443839,653,13.49,7.657992565,61.26394052,29.14498141,1.933085502,2702900,1285000,421
1020,SH,Stein am Rhein,de,3415,590.8304498,16.54465593,57.10102489,26.35431918,1631,5.78,24.91408935,29.5532646,39.51890034,6.013745705,2706700,1279800,445
1021,SH,Hallau,de,2221,144.9738903,21.25168843,55.33543449,23.41287708,960,15.32,9.778357236,49.34810952,40.02607562,0.847457627,2676500,1283400,500
1022,SH,Oberhallau,de,444,73.38842975,21.17117117,60.81081081,18.01801802,178,6.05,7.131011609,72.47097844,20.39800995,0.0,2678000,1284400,502
1023,SH,Trasadingen,de,584,141.0628019,19.69178082,61.64383562,18.66438356,260,4.14,10.9223301,75.48543689,12.86407767,0.72815534,2674600,1280200,450
1024,SH,Wilchingen,de,1737,82.32227488,20.84052965,57.62809442,21.53137594,726,21.1,7.186761229,49.73995272,42.41134752,0.661938534,2677300,1280100,455
