,Canton,Commune,Language,Residents,Population density per km²,0-19 years,20-64 years,65 years or over,Private households,Surface area in km²,Settlement area,Agricultural area,Wooded area,Unproductive area,East coordinate,North coordinate,Elevation
606,SZ,Einsiedeln,de,15870,160.4164561,20.14492754,61.47448015,18.38059231,6741,98.93,5.878787879,47.05050505,44.19191919,2.878787879,2699800,1220400,1012
607,SZ,Gersau,de,2319,161.4902507,15.91203105,61.96636481,22.12160414,1088,14.35,6.615598886,39.69359331,51.74094708,1.949860724,2682700,1205100,988
608,SZ,Feusisberg,de,5263,300.7428571,17.51852556,65.74197226,16.73950219,2314,17.5,10.80617496,47.51286449,40.1943968,1.486563751,2699200,1227100,812
609,SZ,Freienbach,de,16391,1188.614938,17.57671893,63.45555488,18.96772619,7254,13.8,33.28509407,38.49493488,23.51664255,4.703328509,2701400,1228700,475
610,SZ,Wollerau,de,7255,1149.762282,17.18814611,62.81185389,20.0,3133,6.3,30.6122449,53.06122449,14.12872841,2.197802198,2697100,1228000,614
611,SZ,Küssnacht (SZ),de,13087,445.2875128,19.16405593,62.32138764,18.51455643,5727,29.37,16.598778,55.73659199,26.51052274,1.154107264,2676100,1215100,541
612,SZ,Altendorf,de,7083,347.0357668,18.74911761,65.08541578,16.16546661,3044,20.41,10.59570313,51.26953125,37.54882813,0.5859375,2705500,1227700,778
613,SZ,Galgenen,de,5211,392.6902788,20.9556707,62.98215314,16.06217617,2201,13.27,10.66565809,50.30257186,37.97276853,1.059001513,2708800,1226700,659
614,SZ,Innerthal,de,173,3.450339051,19.07514451,57.80346821,23.12138728,78,50.14,0.637577207,33.49272764,34.26977486,31.5999203,2712400,1218300,1361
615,SZ,Lachen,de,8752,3616.528926,18.14442413,63.27696527,18.5786106,3944,2.43,66.25,24.16666667,5.833333333,3.75,2707200,1227700,413
616,SZ,Reichenburg,de,3750,324.6753247,21.41333333,65.65333333,12.93333333,1544,11.55,8.925476603,55.28596187,34.2287695,1.559792028,2716500,1225500,576
617,SZ,Schübelbach,de,9250,318.855567,20.51891892,65.47027027,14.01081081,3883,29.01,7.093663912,47.41735537,42.8030303,2.685950413,2712900,1225800,838
618,SZ,Tuggen,de,3310,245.003701,20.09063444,64.95468278,14.95468278,1411,13.5,13.73707533,60.78286558,21.86115214,3.618906942,2714000,1229100,428
619,SZ,Vorderthal,de,1015,36.28888094,16.15763547,65.81280788,18.02955665,457,27.97,2.075134168,35.84973166,59.14132379,2.933810376,2710900,1220100,1015
620,SZ,Wangen (SZ),de,5054,597.3995272,18.55955679,63.79105659,17.64938662,2148,8.46,25.74139976,59.90510083,10.43890866,3.914590747,2710400,1227700,425
621,SZ,Alpthal,de,616,26.92307692,18.99350649,63.7987013,17.20779221,265,22.88,1.743679163,31.38622493,63.81865737,3.051438535,2697000,1214100,1283
622,SZ,Arth,de,11985,285.0856327,20.46725073,63.30413016,16.22861911,4988,42.02,9.738095238,40.69047619,44.5,5.071428571,2683500,1212100,804
623,SZ,Illgau,de,802,73.24200913,26.43391521,60.8478803,12.71820449,292,10.96,3.460837887,62.1129326,31.78506375,2.641165756,2697900,1204900,1214
624,SZ,Ingenbohl,de,8913,665.1492537,18.01862448,58.84662852,23.134747,3857,13.4,18.03278689,28.53949329,49.10581222,4.321907601,2689000,1206000,559
625,SZ,Lauerz,de,1100,119.695321,23.45454545,63.09090909,13.45454545,446,9.19,4.248366013,44.88017429,35.29411765,15.57734205,2686700,1210000,736
626,SZ,Morschach,de,1159,55.64090254,23.64106989,63.07161346,13.28731665,487,20.84,4.076738609,51.41486811,37.17026379,7.338129496,2689800,1204000,1327
627,SZ,Muotathal,de,3527,20.48913675,23.44768925,59.37056989,17.18174086,1393,172.14,1.004879182,33.22490706,23.4375,42.33271375,2700400,1203500,1684
628,SZ,Oberiberg,de,902,27.19324691,16.96230599,53.4368071,29.60088692,436,33.17,2.139843279,49.93972272,39.21036769,8.710066305,2702100,1210700,1412
629,SZ,Riemenstalden,de,90,8.035714286,37.77777778,40.0,22.22222222,30,11.2,0.624442462,50.93666369,26.94023194,21.49866191,2693500,1200300,1576
630,SZ,Rothenthurm,de,2411,105.978022,24.76150975,62.54666114,12.69182912,945,22.75,4.217926186,43.23374341,48.55008787,3.998242531,2693900,1217800,1077
631,SZ,Sattel,de,1938,111.4433583,22.1878225,64.13828689,13.67389061,812,17.39,6.685878963,56.42651297,35.7925072,1.095100865,2690900,1215200,968
632,SZ,Schwyz,de,15181,285.4644603,19.43218497,61.86022001,18.70759502,6455,53.18,9.304953852,47.41005839,37.70954982,5.575437936,2692400,1208500,892
633,SZ,Steinen,de,3417,288.3544304,22.6221832,61.16476441,16.21305239,1383,11.85,11.3271344,52.07100592,21.30177515,15.30008453,2689300,1211600,531
634,SZ,Steinerberg,de,946,136.7052023,22.09302326,61.09936575,16.80761099,371,6.92,6.17816092,64.22413793,29.02298851,0.574712644,2687000,1212000,959
635,SZ,Unteriberg,de,2395,51.58302821,19.20668058,63.88308977,16.91022965,1054,46.43,3.828780383,42.46074425,36.05076361,17.65971177,2703600,1212900,1266
