,Canton,Commune,Language,Residents,Population density per km²,0-19 years,20-64 years,65 years or over,Private households,Surface area in km²,Settlement area,Agricultural area,Wooded area,Unproductive area,East coordinate,North coordinate,Elevation
657,ZG,Baar,de,24468,984.6277666,20.1814615,63.09874121,16.71979729,10598,24.85,22.0427937,52.40209931,24.82842148,0.726685507,2682600,1227800,521
658,ZG,Cham,de,16723,943.2036097,21.01297614,63.78042217,15.20660169,6988,17.73,24.83108108,60.64189189,12.5,2.027027027,2677400,1226100,427
659,ZG,Hünenberg,de,8808,478.4356328,22.41144414,60.1044505,17.48410536,3477,18.41,14.34782609,60.10869565,16.63043478,8.913043478,2674900,1225200,398
660,ZG,Menzingen,de,4539,164.9945474,19.32143644,60.93853272,19.74003084,1769,27.51,7.50182083,62.74581209,28.25928623,1.493080845,2687300,1226000,804
661,ZG,Neuheim,de,2257,284.6153846,22.77359327,61.32033673,15.90607,888,7.93,13.99747793,66.83480454,17.78058008,1.387137453,2686100,1228900,661
662,ZG,Oberägeri,de,6081,202.4300932,21.36161815,60.91103437,17.72734748,2565,30.04,6.75990676,45.45454545,45.85414585,1.931401931,2689200,1221100,958
663,ZG,Risch,de,10862,730.9555855,20.41981219,67.08709262,12.49309519,4537,14.86,28.87989204,54.58839406,14.64237517,1.889338731,2675100,1221600,440
664,ZG,Steinhausen,de,10026,1989.285714,20.27727907,62.60722122,17.1154997,4203,5.04,37.6984127,46.03174603,15.47619048,0.793650794,2679300,1227900,436
665,ZG,Unterägeri,de,8868,346.2709879,21.53811457,59.66396031,18.79792512,3826,25.62,7.953216374,36.53021443,53.76218324,1.754385965,2686900,1221300,871
666,ZG,Walchwil,de,3663,270.3321033,19.49221949,59.32295932,21.18482118,1568,13.54,9.407407407,42.37037037,44.14814815,4.074074074,2681700,1217200,934
667,ZG,Zug,de,30542,1412.673451,18.7872438,63.24405736,17.96869884,14048,21.63,26.56537753,33.01104972,37.79926335,2.624309392,2681800,1224700,620
