Date,Open,High,Low,Close,Adj Close,Volume
01.06.84,8.04,8.13,7.83,8.00,1.84,741000.00
04.06.84,8.33,8.67,8.17,8.46,1.95,584700.00
05.06.84,8.46,8.54,8.25,8.38,1.93,5370300.00
06.06.84,8.38,8.54,8.38,8.54,1.97,365700.00
07.06.84,8.54,8.58,8.46,8.54,1.97,904800.00
08.06.84,8.58,8.67,8.50,8.67,1.99,708000.00
11.06.84,8.46,8.46,8.17,8.25,1.94,198900.00
12.06.84,8.17,8.17,7.92,8.17,1.92,691500.00
13.06.84,8.21,8.29,8.08,8.13,1.91,424500.00
14.06.84,8.08,8.08,7.83,7.96,1.87,614700.00
15.06.84,8.00,8.13,7.92,8.00,1.88,358500.00
18.06.84,8.08,8.42,8.00,8.42,1.98,235200.00
19.06.84,8.42,8.58,8.38,8.54,2.01,170700.00
20.06.84,8.46,8.83,8.38,8.83,2.08,340200.00
21.06.84,8.83,9.08,8.75,9.00,2.12,424800.00
22.06.84,8.92,8.92,8.75,8.79,2.07,179100.00
25.06.84,8.71,8.88,8.67,8.71,2.05,123900.00
26.06.84,8.63,8.63,8.54,8.58,2.02,346800.00
27.06.84,8.50,8.58,8.38,8.42,1.98,100500.00
28.06.84,8.42,8.42,8.17,8.29,1.95,195900.00
29.06.84,7.96,8.13,7.83,8.00,1.88,724500.00
02.07.84,8.00,8.21,7.92,8.13,1.91,532500.00
03.07.84,8.21,8.50,8.21,8.42,1.98,528000.00
05.07.84,8.42,8.54,8.42,8.54,2.01,87900.00
06.07.84,8.46,8.50,8.38,8.42,1.98,112200.00
09.07.84,8.38,8.83,8.38,8.83,2.08,159600.00
10.07.84,8.79,8.92,8.67,8.79,2.07,237600.00
11.07.84,8.75,8.79,8.67,8.71,2.05,354300.00
12.07.84,8.71,8.71,8.46,8.58,2.02,106200.00
13.07.84,8.58,8.67,8.50,8.67,2.04,125400.00
16.07.84,8.63,8.67,8.54,8.63,2.03,63000.00
17.07.84,8.71,9.04,8.67,9.00,2.12,283500.00
18.07.84,9.00,9.08,8.75,8.75,2.06,225000.00
19.07.84,8.75,8.75,8.29,8.38,1.97,287400.00
20.07.84,8.38,8.58,8.25,8.29,1.95,327900.00
23.07.84,8.25,8.33,8.17,8.29,1.95,260400.00
24.07.84,8.25,8.25,8.04,8.21,1.93,647700.00
25.07.84,8.13,8.29,8.13,8.25,1.94,726300.00
