Date,U.S. Natural Gas Total Consumption (Bcf)
Jan.01,2676.998
Feb.01,2309.464
Mar.01,2246.633
Apr.01,1807.17
May.01,1522.382
Jun.01,1444.378
Jul.01,1598.071
Aug.01,1669.178
Sep.01,1494.128
Oct.01,1649.073
Nov.01,1700.95
Dec.01,2120.198
Jan.02,2487.638
Feb.02,2242.427
Mar.02,2258.431
Apr.02,1880.985
May.02,1611.453
Jun.02,1591.373
Jul.02,1748.435
Aug.02,1725.712
Sep.02,1542.17
Oct.02,1645.873
Nov.02,1913.629
Dec.02,2378.895
Jan.03,2700.545
Feb.03,2500.315
Mar.03,2197.936
Apr.03,1743.53
May.03,1514.697
Jun.03,1368.369
Jul.03,1600.484
Aug.03,1651.58
Sep.03,1428.554
Oct.03,1553.189
Nov.03,1753.642
Dec.03,2263.659
Jan.04,2675.834
Feb.04,2511.097
Mar.04,2100.921
Apr.04,1745.171
May.04,1573.043
Jun.04,1483.684
Jul.04,1584.933
Aug.04,1577.962
Sep.04,1482.15
Oct.04,1557.224
Nov.04,1782.796
Dec.04,2327.73
Jan.05,2561.858
Feb.05,2242.986
Mar.05,2205.787
Apr.05,1724.877
May.05,1522.613
Jun.05,1534.122
Jul.05,1686.609
Aug.05,1695.102
Sep.05,1422.495
Oct.05,1428.227
Nov.05,1663.4
Dec.05,2326.36
Jan.06,2165.268
Feb.06,2144.378
Mar.06,2126.369
Apr.06,1681.005
May.06,1526.297
Jun.06,1550.879
Jul.06,1758.733
Aug.06,1751.683
Sep.06,1462.07
Oct.06,1644.231
Nov.06,1765.375
Dec.06,2122.784
Jan.07,2475.593
Feb.07,2566.992
Mar.07,2128.845
Apr.07,1810.078
May.07,1559.08
Jun.07,1555.225
Jul.07,1659.882
Aug.07,1896.136
Sep.07,1590.483
Oct.07,1627.79
Nov.07,1834.529
Dec.07,2399.153
Jan.08,2733.969
Feb.08,2503.42
Mar.08,2278.15
Apr.08,1823.866
May.08,1576.387
Jun.08,1604.248
Jul.08,1708.64
Aug.08,1682.923
Sep.08,1460.924
Oct.08,1635.826
Nov.08,1868.947
Dec.08,2399.701
Jan.09,2729.714
Feb.09,2332.539
Mar.09,2170.708
Apr.09,1741.293
May.09,1504
Jun.09,1527.833
Jul.09,1657.997
Aug.09,1736.462
Sep.09,1574.974
Oct.09,1666.519
Nov.09,1776.171
Dec.09,2491.864
Jan.10,2809.788
Feb.10,2480.949
Mar.10,2142.925
Apr.10,1691.813
May.10,1617.273
Jun.10,1649.514
Jul.10,1825.827
Aug.10,1878.926
Sep.10,1637.491
Oct.10,1664.937
Nov.10,1973.294
Dec.10,2714.054
Jan.11,2888.639
Feb.11,2452.403
Mar.11,2230.493
Apr.11,1825.023
May.11,1667.395
Jun.11,1657.334
Jul.11,1890.515
Aug.11,1891.782
Sep.11,1655.633
Oct.11,1744.453
Nov.11,2031.871
Dec.11,2541.878
Jan.12,2756.179
Feb.12,2500.654
Mar.12,2127.76
Apr.12,1953.07
May.12,1873.834
Jun.12,1868.356
Jul.12,2069.773
Aug.12,2008.815
Sep.12,1807.208
Oct.12,1901.084
Nov.12,2167.841
Dec.12,2503.907
Jan.13,2878.784
Feb.13,2567.154
Mar.13,2521.108
Apr.13,1967.458
May.13,1752.469
Jun.13,1742.917
Jul.13,1926.329
Aug.13,1927.379
Sep.13,1766.972
Oct.13,1866.762
Nov.13,2316.908
Dec.13,2920.825
Jan.14,3204.128
Feb.14,2741.239
Mar.14,2557.89
Apr.14,1961.677
May.14,1810.221
Jun.14,1745.35
Jul.14,1881.017
Aug.14,1933.06
Sep.14,1809.291
Oct.14,1912.81
Nov.14,2357.52
Dec.14,2679.165
Jan.15,3114.982
Feb.15,2925.172
Mar.15,2591.328
Apr.15,2007.921
May.15,1858.148
Jun.15,1899.906
Jul.15,2067.714
Aug.15,2052.727
Sep.15,1901.337
Oct.15,1987.31
Nov.15,2249.14
Dec.15,2588.167
Jan.16,3091.695
Feb.16,2652.26
Mar.16,2356.298
Apr.16,2083.848
May.16,1965.798
Jun.16,2000.655
Jul.16,2186.616
Aug.16,2208.374
Sep.16,1947.752
Oct.16,1925.203
Nov.16,2159.444
Dec.16,2866.273
Jan.17,2913.823
Feb.17,2340.217
Mar.17,2523.33
Apr.17,1932.041
May.17,1892.009
Jun.17,1910.44
Jul.17,2141.595
Aug.17,2093.772
Sep.17,1920.466
Oct.17,2031.509
Nov.17,2357.257
Dec.17,3086.015
Jan.18,3340.934
Feb.18,2710.719
Mar.18,2796.708
Apr.18,2350.481
May.18,2055.019
Jun.18,2063.144
Jul.18,2350.718
Aug.18,2313.835
Sep.18,2156.063
Oct.18,2285.853
Nov.18,2715.942
Dec.18,2999.509
Jan.19,3409.295
Feb.19,3010.254
Mar.19,2906.919
Apr.19,2204.995
May.19,2126.138
Jun.19,2119.424
Jul.19,2409.507
Aug.19,2440.705
Sep.19,2217.253
Oct.19,2327.959
Nov.19,2778.553
Dec.19,3148.053
Jan.20,3295.974
Feb.20,3032.619
Mar.20,2708.378
Apr.20,2245.121
May.20,2070.883
Jun.20,2135.118
Jul.20,2494.325
Aug.20,2406.672
Sep.20,2173.849
Oct.20,2328.917
