x,y
0.375,-0.027
0.951,0.378
0.732,0.174
0.599,0.049
0.156,-0.423
0.156,-0.347
0.058,-0.400
0.866,0.399
0.601,0.115
0.708,-0.010
0.021,-0.351
0.970,0.337
0.832,0.198
0.212,-0.169
0.182,-0.151
0.183,-0.160
0.304,-0.241
0.525,-0.011
0.432,-0.021
0.291,-0.069
0.612,0.042
0.139,-0.307
0.292,-0.277
0.366,-0.227
0.456,0.046
0.785,0.364
0.200,-0.247
0.514,0.112
0.592,0.110
0.046,-0.427
0.608,0.122
0.171,-0.110
0.065,-0.352
0.949,0.516
0.966,0.111
0.808,0.329
0.305,-0.148
0.098,-0.352
0.684,0.157
0.440,-0.247
0.122,-0.324
0.495,0.032
0.034,-0.225
0.909,0.276
0.259,-0.274
0.663,0.080
0.312,-0.059
0.520,0.049
0.547,-0.016
0.185,-0.201
