temp,users,pred_lr,pred_poly3,pred_huber3
0.1508,41,146,44,51
0.1609,54,161,53,52
0.1727,25,178,66,55
0.1775,75,185,72,57
0.1822,74,192,78,60
0.1891,149,202,87,64
0.1900,130,203,88,65
0.2043,88,224,109,77
0.2208,64,249,135,95
0.2217,139,250,137,96
0.2483,254,289,185,134
0.2583,221,304,205,151
0.2617,244,309,212,157
0.2643,222,313,217,161
0.2692,126,320,227,170
0.2717,120,324,232,175
0.2808,466,337,252,193
0.2809,243,337,252,193
0.2826,206,340,256,196
0.2878,163,347,267,207
0.2892,373,349,270,210
0.2908,261,352,274,213
0.2925,316,354,277,217
0.2991,255,364,292,231
0.3025,317,369,300,238
0.3033,109,370,302,240
0.3087,173,378,314,252
0.3117,491,382,321,259
0.3125,182,384,323,261
0.3133,337,385,325,262
0.3133,310,385,325,262
0.3142,268,386,327,265
0.3183,218,392,336,274
0.3192,378,393,338,276
0.3233,531,400,348,286
0.3250,188,402,352,290
0.3325,333,413,370,308
0.3350,231,417,376,314
0.3400,362,424,388,326
0.3425,439,428,394,332
0.3450,484,431,400,339
0.3483,141,436,408,347
0.3542,199,445,423,362
0.3550,618,446,425,364
0.3617,709,456,441,381
0.3750,1095,476,474,416
0.3775,370,479,480,422
0.3900,324,498,511,455
0.3958,394,506,525,471
0.3975,663,509,529,475
0.4008,410,514,538,484
0.4083,376,525,556,504
0.4150,208,534,573,522
0.4150,424,534,573,522
0.4350,834,564,621,575
0.4375,571,568,627,582
0.4383,331,569,629,584
0.4525,555,590,663,621
0.4542,516,592,667,626
0.4575,1014,597,674,634
0.4592,614,600,678,639
0.4633,699,606,688,649
0.4667,838,611,696,658
0.4667,1348,611,696,658
0.4692,304,614,701,664
0.4758,551,624,716,681
0.4767,655,625,718,683
0.4792,894,629,724,690
0.4858,325,639,738,706
0.5035,253,665,776,748
0.5100,878,674,789,763
0.5108,949,675,791,765
0.5142,780,680,798,773
0.5217,579,691,813,790
0.5267,1340,699,822,800
0.5275,486,700,824,802
0.5333,1319,709,835,814
0.5367,909,714,841,821
0.5383,559,716,844,825
0.5417,1058,721,850,831
0.5500,845,733,864,848
0.5542,1334,739,871,855
0.5575,1005,744,877,862
0.5608,1051,749,882,867
0.5775,1070,774,907,895
0.5875,795,788,921,910
0.5950,613,799,930,921
0.5975,1071,803,933,924
0.5992,1250,806,935,926
0.6025,1038,810,939,930
0.6042,727,813,941,932
0.6125,1054,825,949,942
0.6308,1077,852,965,958
0.6350,863,858,968,961
0.6367,729,861,969,962
0.6367,991,861,969,962
0.6392,775,864,971,964
0.6408,1281,867,972,965
0.6443,690,872,974,966
0.6483,1180,878,976,968
0.6492,863,879,976,969
0.6492,1081,879,976,969
0.6508,701,881,977,969
0.6550,783,888,979,971
0.6558,1173,889,979,971
0.6567,688,890,979,971
0.6675,1094,906,982,973
0.6783,673,922,983,972
0.6800,1417,924,983,972
0.6817,871,927,983,971
0.6883,968,937,982,969
0.6958,1363,948,980,966
0.6967,1027,949,980,965
0.7033,989,959,978,961
0.7067,1198,964,976,958
0.7075,763,965,976,957
0.7083,758,966,975,957
0.7083,1051,966,975,957
0.7108,1023,970,974,954
0.7117,639,971,973,954
0.7158,1032,977,971,949
0.7175,812,980,969,948
0.7200,784,983,968,945
0.7208,1207,984,967,944
0.7225,880,987,966,942
0.7267,1128,993,962,937
0.7333,661,1003,956,927
0.7367,832,1008,952,922
0.7467,1031,1023,940,905
0.7467,841,1023,940,905
0.7492,921,1026,937,901
0.7500,754,1027,936,899
0.7508,1140,1029,935,897
0.7525,983,1031,932,894
0.7558,1196,1036,928,887
0.7625,723,1046,917,873
0.7633,1088,1047,916,871
0.7683,644,1054,907,859
0.7700,888,1057,904,855
0.7717,729,1059,901,851
0.7750,673,1064,895,842
0.7758,676,1065,894,840
0.7767,1036,1067,892,838
0.7808,1052,1073,884,826
0.7817,904,1074,882,824
0.7817,1259,1074,882,824
0.7825,872,1075,880,822
0.8183,921,1128,791,700
0.8275,1405,1141,762,662
0.8342,829,1151,741,633
0.8383,670,1157,727,614
