temp,users
0.1964,120
0.2000,108
0.2270,82
0.2043,88
0.1508,41
0.1727,25
0.1650,38
0.1609,54
0.1775,75
0.0974,86
0.1950,15
0.1870,61
0.2717,120
0.2208,64
0.1443,47
0.1891,149
0.4150,208
0.2661,140
0.3183,218
0.4358,259
0.5217,579
0.1822,74
0.2217,139
0.2667,137
0.3350,231
0.1983,123
0.2617,244
0.2925,316
0.3252,359
0.4150,424
0.5400,884
0.4417,460
0.2642,300
0.2643,222
0.3025,317
0.5733,734
0.3908,413
0.4375,571
0.4675,529
0.5125,669
0.5950,613
0.4592,745
0.6067,773
0.6317,678
0.5100,878
0.4592,614
0.4792,894
0.5325,664
0.5325,694
0.5425,550
0.5350,695
0.5775,773
0.5367,909
0.6608,740
0.7083,758
0.6817,871
0.7750,673
0.7150,736
0.6200,898
0.6783,673
0.7075,763
0.7758,676
0.7550,815
0.6350,863
0.6042,727
0.6267,769
0.6492,863
0.7333,661
0.7242,969
0.7442,732
0.7283,848
0.6967,1027
0.7225,1246
0.7467,1031
0.7200,784
0.7500,754
0.7625,723
0.7942,662
0.7467,748
0.6808,888
0.6633,1318
0.7467,841
0.7767,752
0.7683,644
0.8483,562
0.7433,568
0.7717,750
0.7750,755
0.7792,606
0.8383,670
0.7717,729
0.7833,801
0.7108,1023
0.7650,846
0.7750,907
0.7667,884
0.7175,812
0.7083,1051
0.6658,775
0.7008,721
0.7233,668
0.7117,639
0.6917,833
0.6408,1281
0.6733,949
0.7000,768
0.6367,729
0.6392,775
0.6567,688
0.6550,783
0.6443,690
0.6508,701
0.6733,647
0.6167,653
0.5642,830
0.4842,486
0.5383,559
0.4942,639
0.5108,949
0.5342,713
0.4758,471
0.4275,676
0.4633,699
0.4717,695
0.3400,362
0.4008,410
0.3775,370
0.4083,318
0.3950,373
0.4083,376
0.4000,305
0.5300,595
0.2742,245
0.3750,1095
0.5035,253
0.3250,188
0.3125,182
0.3142,268
0.2658,150
0.2908,261
0.2383,143
0.2825,155
0.2767,260
0.3733,163
0.2991,255
0.2483,254
0.3117,491
0.1500,89
0.2658,140
0.3342,307
0.3087,173
0.2742,174
0.3033,109
0.1900,130
0.3425,439
0.2942,467
0.2692,126
0.3900,324
0.4692,304
0.3133,310
0.2826,206
0.3542,199
0.2650,163
0.2225,94
0.3483,141
0.3433,349
0.2878,163
0.3958,394
0.4542,516
0.3667,253
0.3592,229
0.4858,325
0.2433,203
0.2583,221
0.4042,432
0.5275,486
0.4667,838
0.5650,762
0.5725,997
0.5575,1005
0.5450,982
0.5608,1051
0.5542,1334
0.4458,795
0.3233,531
0.4842,674
0.4942,834
0.4339,1208
0.4667,1348
0.5417,1058
0.4350,1192
0.4892,905
0.4467,819
0.3487,482
0.3975,663
0.4425,1252
0.6083,989
0.4983,846
0.5267,1340
0.4133,518
0.4767,655
0.4575,1014
0.5642,667
0.6275,1069
0.5058,1026
0.5333,1319
0.6367,991
0.5933,1242
0.6550,1059
0.6800,1417
0.7225,880
0.6800,1100
0.5975,1071
0.5542,1027
0.6025,1038
0.6492,1488
0.6558,1173
0.6483,1180
0.6883,968
0.7825,872
0.8058,778
0.7775,964
0.7158,1139
0.6308,1077
0.6975,1077
0.7492,921
0.8342,829
0.7817,904
0.7808,1052
0.8275,1405
0.8283,1366
0.7167,975
0.7158,1032
0.7633,1088
0.8183,921
0.7933,799
0.7700,888
0.7417,1135
0.7508,1140
0.7242,1383
0.7767,1036
0.7817,1259
0.7308,1040
0.7133,968
0.7175,1074
0.7525,983
0.7558,1196
0.7208,1207
0.7267,1128
0.7067,1198
0.7192,1338
0.7233,1483
0.6492,1081
0.6675,1094
0.6958,1363
0.7033,989
0.7283,935
0.6850,1177
0.7067,1172
0.7642,1433
0.7258,867
0.7367,832
0.7033,1045
0.5833,1118
0.5775,1070
0.5992,1050
0.6125,1054
0.6333,1379
0.5525,788
0.5467,939
0.5992,1250
0.5142,1001
0.5500,845
0.6350,787
0.5142,780
0.4350,834
0.4375,1060
0.4683,922
0.4558,979
0.4875,830
0.5442,841
0.5875,795
0.3550,618
0.3192,378
0.2808,466
0.3522,340
0.3617,709
0.2892,373
0.3450,484
0.3533,615
0.3133,337
0.2967,198
0.2809,243
0.2983,362
0.4525,555
0.4758,551
0.4383,331
0.2558,340
0.2958,425
0.2817,429
0.4108,433
0.3325,333
