temp,temp_C,hum,windspeed,atemp,atemp_C,yr,workingday,holiday,casual
0.368,9.296,0.569,0.148,0.379,9.014,1,1,0,1603
0.700,24.900,0.761,0.084,0.660,27.560,0,1,0,768
0.282,5.254,0.538,0.187,0.282,2.612,0,0,0,424
0.335,7.745,0.450,0.308,0.320,5.120,0,1,0,231
0.398,10.706,0.466,0.290,0.388,9.608,1,1,0,663
0.562,18.414,0.881,0.135,0.532,19.112,0,1,0,438
0.128,-1.984,0.465,0.409,0.102,-9.268,1,0,0,73
0.628,21.516,0.902,0.128,0.555,20.630,0,1,0,555
0.421,11.787,0.659,0.128,0.422,11.852,1,0,0,2290
0.362,9.014,0.839,0.101,0.370,8.420,1,0,0,538
0.779,28.613,0.583,0.178,0.740,32.840,0,1,0,606
0.447,13.009,0.435,0.249,0.436,12.776,1,1,0,819
0.396,10.612,0.568,0.234,0.393,9.938,1,1,0,394
0.649,22.503,0.736,0.143,0.600,23.600,0,1,0,863
0.221,2.387,0.538,0.362,0.198,-2.932,0,1,0,64
0.533,17.051,0.360,0.237,0.521,18.386,1,1,0,1319
0.650,22.550,0.647,0.284,0.610,24.260,1,0,0,2512
0.636,21.892,0.734,0.130,0.596,23.336,1,1,0,1026
0.331,7.557,0.586,0.229,0.319,5.054,0,1,0,456
0.664,23.208,0.562,0.285,0.615,24.590,1,0,1,1198
0.756,27.532,0.620,0.156,0.700,30.200,1,1,0,1196
0.599,20.153,0.577,0.132,0.570,21.620,1,1,0,1050
0.635,21.845,0.495,0.305,0.602,23.732,0,1,0,863
0.459,13.573,0.444,0.295,0.442,13.172,0,1,0,614
0.635,21.845,0.456,0.123,0.595,23.270,0,0,0,1869
0.299,6.053,0.613,0.096,0.311,4.526,0,0,0,706
0.267,4.549,0.535,0.216,0.264,1.424,0,1,0,137
0.324,7.228,0.650,0.106,0.338,6.308,1,0,0,767
0.401,10.847,0.684,0.136,0.397,10.202,0,1,0,410
0.216,2.152,0.578,0.155,0.223,-1.282,1,1,0,439
0.547,17.709,0.618,0.118,0.532,19.112,1,1,0,939
0.275,4.925,0.507,0.233,0.266,1.556,0,0,0,502
0.330,7.510,0.668,0.132,0.335,6.110,1,1,0,314
0.408,11.176,0.722,0.069,0.412,11.192,0,1,0,376
0.514,16.158,0.756,0.111,0.505,17.330,1,0,0,3155
0.776,28.472,0.622,0.137,0.727,31.982,0,1,0,676
0.303,6.241,0.605,0.308,0.284,2.744,0,0,1,195
0.721,25.887,0.588,0.208,0.660,27.560,1,1,0,1017
0.575,19.025,0.744,0.216,0.553,20.498,1,1,0,620
0.477,14.419,0.428,0.119,0.470,15.020,1,1,0,655
0.299,6.053,0.504,0.294,0.280,2.480,0,1,0,255
0.486,14.842,0.615,0.227,0.475,15.350,1,1,0,325
0.370,9.390,0.581,0.138,0.376,8.816,1,1,0,796
0.765,27.955,0.592,0.192,0.703,30.398,0,1,0,846
0.327,7.369,0.519,0.189,0.324,5.384,0,0,0,1156
0.365,9.155,0.777,0.203,0.367,8.222,0,1,0,321
0.571,18.837,0.734,0.042,0.543,19.838,0,0,1,1514
0.413,11.411,0.454,0.249,0.405,10.730,1,1,0,518
0.227,2.669,0.437,0.187,0.229,-0.886,0,1,0,82
0.716,25.652,0.716,0.239,0.668,28.088,1,1,0,1065
0.546,17.662,0.807,0.132,0.523,18.518,1,1,0,1182
0.494,15.218,0.439,0.320,0.482,15.812,1,1,0,834
0.554,18.038,0.664,0.268,0.539,19.574,1,0,0,3031
0.204,1.588,0.518,0.090,0.233,-0.622,0,1,0,88
0.604,20.388,0.750,0.148,0.574,21.884,0,0,0,1576
0.688,24.336,0.690,0.148,0.655,27.230,1,1,0,968
0.578,19.166,0.788,0.127,0.551,20.366,0,1,0,773
0.397,10.659,0.835,0.345,0.390,9.740,1,0,0,120
0.180,0.460,0.458,0.187,0.183,-3.922,1,0,0,333
0.468,13.996,0.558,0.182,0.461,14.426,1,1,0,922
0.097,-3.441,0.437,0.247,0.099,-9.466,0,0,0,150
