temp,hum,windspeed,yr,workingday,holiday,weekday,season,weathersit,casual
0.344,0.806,,2011.000,no,,6.000,spring,cloudy,331
0.363,0.696,0.249,2011.000,,no,0.000,spring,cloudy,131
0.196,0.437,0.248,2011.000,yes,no,,,clear,120
,0.590,0.160,2011.000,yes,no,2.000,spring,,108
0.227,0.437,0.187,2011.000,yes,no,3.000,spring,clear,82
,0.518,0.090,2011.000,yes,,4.000,spring,clear,88
0.197,0.499,0.169,2011.000,,no,5.000,spring,cloudy,148
0.165,0.536,0.267,2011.000,no,no,6.000,spring,cloudy,68
0.138,0.434,0.362,2011.000,no,no,0.000,spring,clear,54
0.151,0.483,0.223,2011.000,yes,no,1.000,spring,,41
0.169,0.686,0.122,2011.000,yes,no,,spring,cloudy,43
0.173,0.600,0.305,2011.000,,no,3.000,spring,clear,25
,,,2011.000,yes,no,4.000,spring,clear,38
0.161,0.538,0.127,,yes,no,5.000,spring,clear,54
0.233,0.499,,2011.000,,no,6.000,spring,cloudy,222
,0.484,0.188,2011.000,no,no,0.000,spring,clear,251
0.176,0.538,0.194,2011.000,no,,,spring,cloudy,117
0.217,0.862,0.147,2011.000,yes,no,2.000,spring,,9
0.292,0.742,0.208,,yes,no,3.000,spring,cloudy,78
0.262,,0.196,2011.000,yes,no,,spring,cloudy,83
0.178,0.457,0.353,2011.000,yes,no,5.000,spring,clear,75
0.059,0.400,0.172,2011.000,no,no,,spring,clear,93
0.097,0.437,0.247,2011.000,no,no,0.000,spring,clear,150
0.097,0.492,0.158,2011.000,yes,no,,spring,clear,86
0.223,0.617,0.130,2011.000,yes,no,,spring,cloudy,186
,0.862,0.294,2011.000,yes,no,3.000,spring,rainy,34
0.195,0.688,0.114,2011.000,yes,no,4.000,spring,clear,15
0.203,0.793,0.123,2011.000,yes,no,5.000,spring,cloudy,38
0.197,0.652,0.145,2011.000,no,no,6.000,spring,clear,123
0.217,0.722,0.074,2011.000,no,,0.000,,clear,140
0.181,0.604,0.187,2011.000,yes,no,1.000,spring,cloudy,42
0.192,0.830,0.053,2011.000,yes,no,2.000,spring,cloudy,47
0.260,0.775,0.264,2011.000,yes,no,3.000,spring,cloudy,72
0.187,0.438,0.278,2011.000,yes,,4.000,spring,clear,61
0.211,0.585,0.128,2011.000,,no,5.000,spring,cloudy,88
0.233,0.929,0.161,2011.000,no,no,6.000,spring,cloudy,100
0.286,0.568,0.142,2011.000,no,no,0.000,spring,clear,354
0.272,,0.045,2011.000,,no,1.000,spring,clear,120
0.221,0.538,0.362,2011.000,yes,no,2.000,spring,,64
0.135,0.495,0.189,,yes,no,3.000,spring,cloudy,53
0.144,0.437,,2011.000,yes,no,4.000,spring,,47
0.189,0.506,0.109,2011.000,yes,no,5.000,spring,clear,149
0.222,,,,no,no,,spring,clear,288
0.317,0.457,0.261,2011.000,no,no,0.000,,clear,397
0.415,,0.418,,yes,no,1.000,spring,clear,208
0.266,0.314,0.291,2011.000,yes,no,2.000,spring,clear,140
0.318,0.423,0.252,2011.000,yes,no,3.000,spring,clear,218
0.436,0.505,0.230,2011.000,yes,,4.000,spring,,259
0.522,0.517,0.265,2011.000,yes,no,5.000,,clear,579
0.399,0.188,0.507,2011.000,no,no,6.000,spring,clear,532
,0.408,0.223,2011.000,no,no,0.000,spring,clear,639
0.303,0.605,,2011.000,no,yes,1.000,spring,cloudy,195
0.182,0.578,0.196,2011.000,yes,,,,clear,74
0.222,0.423,0.094,2011.000,yes,no,3.000,spring,,139
0.296,0.697,0.250,2011.000,yes,,4.000,spring,cloudy,100
0.364,0.712,0.347,2011.000,yes,no,5.000,spring,cloudy,120
,0.538,0.187,,no,no,6.000,spring,clear,424
0.343,0.680,0.125,2011.000,no,no,0.000,spring,clear,694
0.407,0.876,0.290,2011.000,yes,no,1.000,spring,cloudy,81
0.267,0.535,0.216,2011.000,yes,no,2.000,spring,,137
0.335,0.450,,2011.000,yes,no,3.000,spring,clear,231
0.198,0.318,0.226,2011.000,yes,no,4.000,spring,clear,123
0.262,0.610,0.203,2011.000,yes,no,5.000,spring,cloudy,214
0.384,0.789,0.252,2011.000,no,,6.000,spring,cloudy,640
,0.948,0.343,2011.000,no,no,0.000,,cloudy,114
0.262,0.551,0.341,2011.000,yes,no,1.000,,clear,244
0.292,0.421,0.121,2011.000,yes,no,2.000,spring,clear,316
0.296,0.775,0.220,2011.000,yes,no,3.000,,cloudy,191
0.389,0.000,0.262,2011.000,yes,no,4.000,spring,rainy,46
,0.650,0.233,2011.000,yes,no,5.000,spring,cloudy,247
0.329,0.595,0.221,2011.000,no,no,6.000,spring,clear,724
0.384,0.527,0.271,2011.000,no,no,0.000,spring,clear,982
0.325,0.497,0.137,2011.000,yes,no,1.000,,clear,359
0.317,0.656,0.184,2011.000,yes,no,2.000,spring,cloudy,289
0.365,,0.203,2011.000,,no,3.000,spring,cloudy,321
0.415,0.603,0.210,2011.000,yes,no,4.000,spring,clear,424
0.540,0.525,0.231,2011.000,yes,,5.000,spring,clear,884
0.472,0.379,0.368,2011.000,no,no,6.000,spring,clear,1424
0.332,0.474,0.208,2011.000,no,no,0.000,spring,clear,1047
0.430,0.737,0.289,2011.000,yes,no,1.000,summer,cloudy,401
0.442,0.625,0.226,2011.000,yes,no,2.000,summer,clear,460
,0.840,0.234,2011.000,yes,no,3.000,summer,cloudy,203
0.285,0.806,0.244,2011.000,yes,no,4.000,,cloudy,166
0.264,0.495,0.231,2011.000,yes,no,5.000,summer,clear,300
0.266,0.394,0.210,2011.000,no,no,6.000,summer,clear,981
0.253,0.494,0.184,2011.000,no,no,0.000,summer,cloudy,472
0.264,0.302,0.212,2011.000,yes,no,1.000,summer,,222
,0.314,0.227,2011.000,yes,,2.000,,clear,317
0.300,0.647,0.173,2011.000,yes,no,3.000,,cloudy,168
0.268,0.918,0.218,2011.000,yes,no,4.000,summer,rainy,179
0.300,0.686,,2011.000,yes,no,5.000,,cloudy,307
0.315,0.654,0.197,2011.000,no,no,6.000,summer,cloudy,898
0.378,0.480,0.182,2011.000,no,no,0.000,summer,clear,1651
,0.426,,2011.000,yes,no,1.000,summer,clear,734
0.414,,0.388,2011.000,yes,no,2.000,summer,,167
0.391,0.471,,2011.000,,no,3.000,summer,clear,413
0.438,0.603,0.162,2011.000,,,4.000,summer,clear,571
0.336,0.836,0.227,2011.000,yes,no,5.000,summer,cloudy,172
0.342,,0.133,2011.000,no,no,6.000,,cloudy,879
0.427,0.858,0.147,2011.000,no,no,0.000,summer,cloudy,1188
0.596,0.717,0.324,2011.000,yes,no,,summer,,855
0.502,0.739,0.275,2011.000,,no,2.000,summer,,257
0.412,0.819,0.251,2011.000,yes,,3.000,summer,cloudy,209
,0.540,,2011.000,yes,,4.000,summer,clear,529
,0.671,0.226,2011.000,no,yes,5.000,summer,clear,642
0.431,0.888,0.341,,no,no,6.000,summer,rainy,121
0.457,,0.303,2011.000,no,no,0.000,summer,clear,1558
,0.542,0.164,2011.000,yes,no,1.000,summer,clear,669
0.506,0.666,0.158,2011.000,yes,no,2.000,summer,cloudy,409
0.595,0.614,0.242,2011.000,yes,no,,summer,clear,613
0.459,0.407,,2011.000,yes,no,4.000,summer,clear,745
0.337,0.730,0.220,2011.000,yes,no,,summer,cloudy,177
0.460,,0.231,2011.000,no,no,6.000,summer,cloudy,1462
0.582,0.811,0.192,2011.000,no,,0.000,summer,cloudy,1710
,0.777,0.185,2011.000,yes,no,1.000,summer,clear,773
0.632,0.729,0.326,2011.000,yes,no,2.000,summer,clear,678
0.620,,0.312,2011.000,yes,no,3.000,summer,cloudy,547
0.618,0.701,0.321,,yes,no,4.000,summer,cloudy,569
0.510,0.457,0.240,2011.000,yes,no,5.000,summer,clear,878
0.472,,0.235,2011.000,no,no,6.000,summer,clear,1965
0.452,0.762,0.106,2011.000,no,no,0.000,summer,cloudy,1138
0.549,0.730,,2011.000,yes,no,1.000,summer,cloudy,847
0.617,0.697,0.343,2011.000,yes,no,2.000,summer,,603
0.414,0.737,0.329,2011.000,yes,no,3.000,summer,cloudy,255
0.459,0.444,0.295,2011.000,yes,no,4.000,summer,clear,614
0.479,0.590,0.228,2011.000,yes,no,5.000,summer,clear,894
