Case Number,Block,Description,Location Description,Arrest,Year,Latitude,Longitude
G360170,027XX N HOYNE AV,GAME/DICE,CHA HALLWAY/STAIRWELL/ELEVATOR,True,2001,41.932,-87.679
HV362360,105XX S LAFAYETTE AVE,GAME/DICE,SIDEWALK,True,2012,41.703,-87.625
HX330175,021XX E 71ST ST,GAME/DICE,GROCERY FOOD STORE,True,2014,41.766,-87.574
HP497478,005XX E 40TH ST,GAME/DICE,CHA PARKING LOT/GROUNDS,True,2008,41.821,-87.613
HJ481453,013XX E 53RD ST,GAME/DICE,STREET,True,2003,41.799,-87.593
HT450208,012XX S LAWNDALE AVE,GAME/DICE,SIDEWALK,True,2011,41.865,-87.718
HN752703,019XX S TRUMBULL AVE,GAME/DICE,RESIDENCE PORCH/HALLWAY,True,2007,41.855,-87.711
HS507623,009XX W 86TH PL,GAME/DICE,SIDEWALK,True,2010,41.737,-87.647
HL721492,014XX S TRUMBULL AVE,GAME/DICE,SIDEWALK,True,2005,41.862,-87.712
HR409650,016XX W HOWARD ST,GAME/DICE,PARK PROPERTY,True,2009,42.019,-87.671
HN451086,079XX S PULASKI RD,GAME/DICE,PARK PROPERTY,True,2007,41.749,-87.722
HW289304,064XX S VERNON AVE,GAME/DICE,SIDEWALK,True,2013,41.778,-87.614
HS497915,055XX S HOYNE AVE,GAME/DICE,SIDEWALK,True,2010,41.793,-87.677
HP255645,020XX S MICHIGAN AVE,GAME/DICE,RESIDENCE,True,2008,41.855,-87.624
HN656497,005XX E BROWNING AVE,GAME/DICE,CHA PARKING LOT/GROUNDS,True,2007,41.830,-87.613
G449436,057XX S PEORIA ST,GAME/DICE,SIDEWALK,True,2001,41.790,-87.648
HV460694,050XX W CONCORD PL,GAME/DICE,SIDEWALK,True,2012,41.910,-87.752
HL534727,080XX S CHAPPEL AVE,GAME/DICE,"SCHOOL, PUBLIC, GROUNDS",True,2005,41.749,-87.575
HR376651,048XX W WALTON ST,GAME/DICE,SIDEWALK,True,2009,41.898,-87.747
HW250750,061XX S EVANS AVE,GAME/DICE,RESIDENCE PORCH/HALLWAY,True,2013,41.783,-87.607
HN334290,016XX S ST LOUIS AVE,GAME/DICE,SIDEWALK,True,2007,41.859,-87.713
HM401791,031XX W OHIO ST,GAME/DICE,SIDEWALK,True,2006,41.892,-87.706
HR555603,106XX S MAY ST,GAME/DICE,SIDEWALK,True,2009,41.701,-87.651
HK754764,001XX W 57TH ST,ILLEGAL ILL LOTTERY,STREET,True,2004,41.791,-87.628
HK215515,078XX S EUCLID AVE,GAME/DICE,ALLEY,True,2004,41.753,-87.577
HL637557,043XX W HIRSCH ST,GAME/DICE,SIDEWALK,True,2005,41.906,-87.734
HH785025,009XX S MAY ST,WIREROOM/SPORTS,STREET,True,2002,41.870,-87.655
HN152385,070XX W BELMONT AVE,GAME/CARDS,OTHER,True,2007,41.938,-87.803
HK722093,0000X N LATROBE AVE,GAME/DICE,SIDEWALK,True,2004,41.881,-87.756
HK458919,065XX S MINERVA AVE,GAME/DICE,SIDEWALK,True,2004,41.776,-87.597
HS432814,039XX W MADISON ST,GAME/DICE,SIDEWALK,True,2010,41.881,-87.724
HW374574,063XX S PAULINA ST,GAME/DICE,SIDEWALK,True,2013,41.779,-87.667
HT520092,050XX W AUGUSTA BLVD,GAME/DICE,SIDEWALK,True,2011,41.899,-87.751
HS523091,079XX S MARYLAND AVE,GAME/DICE,SIDEWALK,True,2010,41.751,-87.604
HM397039,047XX S VINCENNES AVE,GAME/DICE,STREET,True,2006,41.809,-87.614
HP408807,004XX E 62ND ST,GAME/DICE,SIDEWALK,True,2008,41.782,-87.614
HN429526,064XX W 63RD ST,OTHER,STREET,True,2007,41.778,-87.782
HZ225819,039XX W GRENSHAW ST,GAME/DICE,SIDEWALK,True,2016,41.867,-87.724
HL742663,050XX S ELIZABETH ST,GAME/DICE,SIDEWALK,True,2005,41.802,-87.656
HT410865,076XX S COLES AVE,GAME/DICE,SIDEWALK,True,2011,41.757,-87.556
HP338902,030XX W WALNUT ST,GAME/DICE,SIDEWALK,True,2008,41.885,-87.702
HM180514,023XX S WENTWORTH AVE,GAME/AMUSEMENT DEVICE,SMALL RETAIL STORE,True,2006,41.850,-87.632
HX156893,080XX S COTTAGE GROVE AVE,GAME/DICE,APARTMENT,True,2014,41.749,-87.605
HS424737,001XX S LAVERGNE AVE,GAME/DICE,RESIDENTIAL YARD (FRONT/BACK),True,2010,41.879,-87.749
HJ480472,075XX S COLES AVE,GAME/DICE,STREET,True,2003,41.759,-87.557
HK568581,051XX S PRINCETON AVE,GAME/DICE,STREET,True,2004,41.801,-87.633
G426685,054XX S INDIANA AV,GAME/DICE,STREET,True,2001,41.795,-87.621
HR270060,041XX W CERMAK RD,GAME/DICE,SIDEWALK,True,2009,41.852,-87.728
HK811104,011XX W 95TH ST,GAME/DICE,SMALL RETAIL STORE,True,2004,41.721,-87.651
HX251348,035XX W 13TH PL,GAME/DICE,SIDEWALK,True,2014,41.864,-87.714
HL214737,032XX W ADAMS ST,GAME/DICE,"SCHOOL, PUBLIC, BUILDING",True,2005,41.878,-87.707
HN444109,008XX N CAMBRIDGE AVE,GAME/DICE,CHA PARKING LOT/GROUNDS,True,2007,41.898,-87.642
HM587692,088XX S OGLESBY AVE,GAME/DICE,ALLEY,True,2006,41.735,-87.567
HH165099,009XX N WESTERN AV,GAME/AMUSEMENT DEVICE,TAVERN/LIQUOR STORE,True,2002,41.898,-87.687
HJ292319,002XX W 37TH PL,GAME/DICE,CHA PARKING LOT/GROUNDS,True,2003,41.826,-87.633
HJ568667,011XX N WALLER AVE,OTHER,SIDEWALK,True,2003,41.901,-87.768
HY397511,046XX W ERIE ST,GAME/DICE,SIDEWALK,True,2015,41.892,-87.742
HV597830,006XX N HAMLIN AVE,GAME/DICE,SIDEWALK,True,2012,41.892,-87.721
HN530713,071XX S CHAMPLAIN AVE,GAME/DICE,SIDEWALK,True,2007,41.765,-87.609
HL156956,056XX S NORMAL BLVD,GAME/DICE,SIDEWALK,True,2005,41.792,-87.638
HL360475,030XX W MADISON ST,GAME/DICE,PARKING LOT/GARAGE(NON.RESID.),True,2005,41.881,-87.703
HK745262,066XX S SEELEY AVE,GAME/DICE,ALLEY,True,2004,41.773,-87.675
HJ609987,060XX S RHODES AVE,GAME/DICE,STREET,True,2003,41.785,-87.612
G105401,020XX W HOWARD ST,GAME/AMUSEMENT DEVICE,TAVERN/LIQUOR STORE,True,2001,42.019,-87.682
G734293,038XX N KEDZIE AV,GAME/AMUSEMENT DEVICE,RESTAURANT,True,2001,41.951,-87.708
HR493254,006XX N RIDGEWAY AVE,GAME/DICE,OTHER,True,2009,41.892,-87.720
HJ240653,069XX N GLENWOOD AVE,GAME/DICE,SIDEWALK,True,2003,42.007,-87.666
HH817517,023XX S CHRISTIANA AVE,GAME/DICE,"SCHOOL, PUBLIC, BUILDING",True,2002,41.849,-87.709
HY369382,097XX S PARNELL AVE,GAME/DICE,PARK PROPERTY,True,2015,41.717,-87.637
HP148869,005XX N WALLER AVE,GAME/DICE,"SCHOOL, PUBLIC, BUILDING",True,2008,41.890,-87.768
HV240294,006XX N PARKSIDE AVE,GAME/DICE,SIDEWALK,True,2012,41.892,-87.767
HN726929,079XX S LAFLIN ST,GAME/DICE,RESIDENCE PORCH/HALLWAY,True,2007,41.750,-87.661
HX275903,057XX S RACINE AVE,GAME/DICE,PARK PROPERTY,True,2014,41.790,-87.655
G341972,080XX S SPRINGFIELD AV,GAME/DICE,PARK PROPERTY,True,2001,41.747,-87.720
HJ478913,020XX N LAWNDALE AVE,GAME/DICE,SIDEWALK,True,2003,41.917,-87.719
HN476623,012XX S TROY ST,GAME/DICE,ALLEY,True,2007,41.865,-87.704
HP621432,0000X S MASON AVE,GAME/DICE,SIDEWALK,True,2008,41.880,-87.773
HS420886,050XX W MADISON ST,GAME/DICE,STREET,True,2010,41.880,-87.751
HP367066,006XX N RIDGEWAY AVE,GAME/DICE,SIDEWALK,True,2008,41.893,-87.720
HJ224216,007XX W 26TH ST,GAME/AMUSEMENT DEVICE,TAVERN/LIQUOR STORE,True,2003,41.845,-87.645
HV481177,028XX W JACKSON BLVD,GAME/DICE,SIDEWALK,True,2012,41.877,-87.698
